rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,39,48,35;60;255;310,321;60;185;359,3,,,100666.070808,101099.657831
2,1,54,63,316;60;180;359,248;60;228;275,3,,,99851.99192,112820.451886
3,1,141,150,258;50;223;310,203;119;223;234,3,,,96332.05386,104749.427252
4,1,141,181,258;50;223;310,209;50;174;257,3,,,96332.05386,104395.547639
5,1,245,254,204;80;144;257,129;80;88;340,3,,,96185.753272,100531.795151
6,1,291,300,134;80;103;330,84;15;16;330,3,,,93977.741228,106079.445108
7,1,291,376,134;80;103;330,192;7;103;29,3,,,93977.741228,102953.361142
8,1,291,428,134;80;103;330,209;157;103;269,3,,,93977.741228,97069.403343
9,1,451,460,209;142;103;274,209;196;45;340,3,,,93628.403503,107635.907763
10,1,451,535,209;142;103;274,269;217;103;324,3,,,93628.403503,94629.171288
