rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,30,39,50;150;160;310,69;170;136;310,3,,,96922.588078,99088.799422
2,1,55,64,49;160;141;310,49;138;162;330,3,,,91818.345353,99318.773738
3,1,55,87,49;160;141;310,32;184;166;310,3,,,91818.345353,99765.537635
4,1,55,104,49;160;141;310,49;182;124;327,3,,,91818.345353,99095.771101
5,1,55,153,49;160;141;310,49;132;119;329,3,,,91818.345353,98333.016002
6,1,55,177,49;160;141;310,33;160;112;287,3,,,91818.345353,100912.433778
7,1,232,241,58;160;102;307,32;160;123;284,3,,,90780.387266,99342.933743
8,1,232,267,58;160;102;307,74;160;80;283,3,,,90780.387266,100234.791372
9,1,232,287,58;160;102;307,38;140;78;307,3,,,90780.387266,92242.664043
10,1,232,312,58;160;102;307,31;134;102;278,3,,,90780.387266,94595.469711
