rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,30,39,50;150;160;310,139;214;74;310,3,,,96922.588078,99428.472395
2,1,52,61,144;204;69;310,144;148;126;38,3,,,96779.957159,98890.039144
3,1,81,90,144;148;106;38,63;232;189;38,3,,,95522.259996,128120.65157
4,1,153,162,103;257;169;33,103;341;108;96,3,,,94421.420274,99294.683046
5,1,153,181,103;257;169;33,103;189;93;86,3,,,94421.420274,114853.712663
6,1,153,233,103;257;169;33,37;257;110;332,3,,,94421.420274,95620.055331
7,1,248,257,37;257;105;327,339;257;192;248,3,,,93411.394409,99776.054708
8,1,248,309,37;257;105;327,103;257;23;251,3,,,93411.394409,102806.651627
9,1,248,359,37;257;105;327,329;187;23;327,3,,,93411.394409,104581.099444
10,1,248,394,37;257;105;327,320;181;105;260,3,,,93411.394409,95707.680056
