rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,17,26,125;140;225;330,125;140;225;338,1,3,8,91780.978462,92974.82927
1,2,26,27,125;140;225;338,125;148;225;338,1,1,8,92974.82927,96257.662109
1,3,27,28,125;148;225;338,125;148;219;338,1,2,6,96257.662109,98981.481116
2,1,17,60,125;140;225;330,125;140;225;338,1,3,8,91780.978462,92974.82927
2,2,60,61,125;140;225;338,134;140;225;338,1,0,9,92974.82927,92880.464497
2,3,61,62,134;140;225;338,134;140;219;338,1,2,6,92880.464497,94947.937485
3,1,17,84,125;140;225;330,125;140;234;330,1,2,9,91780.978462,94361.604177
3,2,84,85,125;140;234;330,117;140;234;330,1,0,8,94361.604177,94098.789518
3,3,85,86,117;140;234;330,117;132;234;330,1,1,8,94098.789518,98880.86349
4,1,17,105,125;140;225;330,125;147;225;330,1,1,7,91780.978462,96283.024595
4,2,105,106,125;147;225;330,125;147;225;337,1,3,7,96283.024595,96706.991059
4,3,106,107,125;147;225;337,125;147;219;337,1,2,6,96706.991059,99288.539202
5,1,17,139,125;140;225;330,125;140;232;330,1,2,7,91780.978462,94326.700819
5,2,139,140,125;140;232;330,125;146;232;330,1,1,6,94326.700819,99105.282272
5,3,140,141,125;146;232;330,125;146;232;337,1,3,7,99105.282272,99332.458396
6,1,17,163,125;140;225;330,125;134;225;330,1,1,6,91780.978462,98000.690024
6,2,163,164,125;134;225;330,118;134;225;330,1,0,7,98000.690024,98000.690024
6,3,164,165,118;134;225;330,118;134;225;336,1,3,6,98000.690024,98000.690024
7,1,17,174,125;140;225;330,131;140;225;330,1,0,6,91780.978462,98000.690024
7,2,174,175,131;140;225;330,131;140;225;339,1,3,9,98000.690024,98000.690024
7,3,175,176,131;140;225;339,131;140;234;339,1,2,9,98000.690024,98000.690024
8,1,17,185,125;140;225;330,125;140;217;330,1,2,8,91780.978462,98000.690024
8,2,185,186,125;140;217;330,118;140;217;330,1,0,7,98000.690024,98000.690024
8,3,186,187,118;140;217;330,118;148;217;330,1,1,8,98000.690024,98000.690024
9,1,17,196,125;140;225;330,125;146;225;330,1,1,6,91780.978462,98000.690024
9,2,196,197,125;146;225;330,125;146;225;337,1,3,7,98000.690024,98000.690024
9,3,197,198,125;146;225;337,125;146;216;337,1,2,9,98000.690024,98000.690024
10,1,17,207,125;140;225;330,125;140;225;336,1,3,6,91780.978462,98000.690024
10,2,207,208,125;140;225;336,125;140;232;336,1,2,7,98000.690024,98000.690024
10,3,208,209,125;140;232;336,125;149;232;336,1,1,9,98000.690024,98000.690024
