improvement,eval,angles_deg,objective
0,1,34;53;174;182,115394.673774
1,2,29;53;174;182,113661.901039
2,3,24;53;174;182,113292.292917
3,7,24;58;174;182,112338.081208
4,9,29;58;174;182,112051.936805
5,13,29;63;174;182,110981.276496
6,17,29;68;174;182,109946.322439
7,21,29;73;174;182,108994.126048
8,25,29;78;174;182,107086.062259
9,30,29;78;169;182,104396.804257
10,35,29;78;164;182,103674.902541
11,36,24;78;164;182,103661.169645
12,41,24;78;159;182,102404.148168
13,46,24;78;154;182,100267.213688
14,48,29;78;154;182,100134.030216
15,53,29;78;149;182,99632.377143
16,55,34;78;149;182,99573.488997
17,57,39;78;149;182,99385.209567
18,62,39;78;144;182,97623.807245
19,69,39;78;144;177,96800.644517
20,107,42;97;153;177,96282.876096
21,111,42;102;153;177,93206.593344
22,112,37;102;153;177,93175.432115
23,117,37;102;148;177,91753.347356
24,119,42;102;148;177,91738.300311
25,124,42;102;143;177,91117.627998
