rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,20,29,105;100;225;325,105;83;225;325,1,1,17,93949.05567,94563.618542
1,2,29,30,105;83;225;325,89;83;225;325,1,0,16,94563.618542,97518.290806
1,3,30,31,89;83;225;325,89;83;239;325,1,2,14,97518.290806,101823.306318
2,1,20,67,105;100;225;325,87;100;225;325,1,0,18,93949.05567,96044.991526
2,2,67,68,87;100;225;325,87;100;237;325,1,2,12,96044.991526,98494.134582
2,3,68,69,87;100;237;325,87;114;237;325,1,1,14,98494.134582,99866.264804
3,1,20,88,105;100;225;325,105;100;225;307,1,3,18,93949.05567,95114.858673
3,2,88,89,105;100;225;307,105;113;225;307,1,1,13,95114.858673,95835.287472
3,3,89,90,105;113;225;307,105;113;211;307,1,2,14,95835.287472,97219.344842
4,1,110,119,105;103;221;317,92;103;221;317,1,0,13,92537.408294,93171.710491
4,2,119,120,92;103;221;317,92;103;221;299,1,3,18,93171.710491,97923.708579
4,3,120,121,92;103;221;299,92;103;235;299,1,2,14,97923.708579,98725.195162
5,1,151,160,102;103;225;319,102;84;225;319,1,1,19,91395.229637,92662.16462
5,2,160,161,102;84;225;319,102;84;225;333,1,3,14,92662.16462,93296.707506
5,3,161,162,102;84;225;333,102;84;241;333,1,2,16,93296.707506,94635.156033
6,1,151,196,102;103;225;319,102;117;225;319,1,1,14,91395.229637,91989.214172
6,2,196,197,102;117;225;319,119;117;225;319,1,0,17,91989.214172,96725.989958
6,3,197,198,119;117;225;319,119;117;225;333,1,3,14,96725.989958,97027.861495
7,1,151,219,102;103;225;319,102;103;241;319,1,2,16,91395.229637,92959.635024
7,2,219,220,102;103;241;319,90;103;241;319,1,0,12,92959.635024,95744.100488
7,3,220,221,90;103;241;319,90;118;241;319,1,1,15,95744.100488,99305.02626
8,1,151,255,102;103;225;319,102;103;225;336,1,3,17,91395.229637,92755.603486
8,2,255,256,102;103;225;336,102;103;211;336,1,2,14,92755.603486,93842.905822
8,3,256,257,102;103;211;336,102;121;211;336,1,1,18,93842.905822,94362.253059
9,1,151,300,102;103;225;319,85;103;225;319,1,0,17,91395.229637,93875.499436
9,2,300,301,85;103;225;319,85;103;206;319,1,2,19,93875.499436,95433.283709
9,3,301,302,85;103;206;319,85;103;206;331,1,3,12,95433.283709,95575.604685
10,1,151,321,102;103;225;319,102;116;225;319,1,1,13,91395.229637,91994.894392
10,2,321,322,102;116;225;319,119;116;225;319,1,0,17,91994.894392,96668.491347
10,3,322,323,119;116;225;319,119;116;225;305,1,3,14,96668.491347,100421.61854
