eval,angles_deg,objective,cached,ronda,tenure,prohibido,aceptado
1,125;132;139;302,104076.085284,false,0,,,
2,120;132;139;302,103324.906647,false,1,5,False,True
3,130;132;139;302,104890.573936,false,1,5,False,False
4,125;127;139;302,105835.568438,false,1,5,False,False
5,125;137;139;302,105069.218781,false,1,5,False,False
6,125;132;134;302,105922.628024,false,1,5,False,False
7,125;132;144;302,101565.528224,false,1,5,False,True
8,120;132;144;302,100800.584183,false,2,5,False,True
9,130;132;144;302,102637.490620,false,2,5,False,False
10,125;127;144;302,103666.595484,false,2,5,False,False
11,125;137;144;302,102416.611254,false,2,5,False,False
12,125;132;139;302,104076.085284,true,2,5,False,False
13,125;132;149;302,102795.238659,false,2,5,False,False
14,125;132;144;297,101622.794059,false,2,5,False,False
15,125;132;144;307,101490.381096,false,2,5,False,False
16,115;132;144;302,100248.018133,false,3,5,False,True
17,125;132;144;302,101565.528224,true,3,5,True,False
18,120;127;144;302,102222.467197,false,3,5,False,False
19,120;137;144;302,101759.003832,false,3,5,False,False
20,120;132;139;302,103324.906647,true,3,5,False,False
21,120;132;149;302,102373.161668,false,3,5,False,False
22,120;132;144;297,101153.823476,false,3,5,False,False
23,120;132;144;307,100472.353774,false,3,5,False,False
24,110;132;144;302,98918.956235,false,4,5,False,True
25,120;132;144;302,100800.584183,true,4,5,True,False
26,115;127;144;302,101918.757926,false,4,5,False,False
27,115;137;144;302,101285.001798,false,4,5,False,False
28,115;132;139;302,102420.634484,false,4,5,False,False
29,115;132;149;302,101234.272797,false,4,5,False,False
30,115;132;144;297,100718.224657,false,4,5,False,False
31,115;132;144;307,100051.114854,false,4,5,False,False
32,105;132;144;302,95718.473752,false,5,5,False,True
33,115;132;144;302,100248.018133,true,5,5,True,False
34,110;127;144;302,100337.251726,false,5,5,False,False
35,110;137;144;302,99849.109042,false,5,5,False,False
36,110;132;139;302,101222.540138,false,5,5,False,False
37,110;132;149;302,99959.942918,false,5,5,False,False
38,110;132;144;297,99240.593783,false,5,5,False,False
39,110;132;144;307,98170.138560,false,5,5,False,False
40,100;132;144;302,96275.543952,false,6,5,False,True
41,110;132;144;302,98918.956235,true,6,5,True,False
42,105;127;144;302,97231.016556,false,6,5,False,False
43,105;137;144;302,97028.755483,false,6,5,False,False
44,105;132;139;302,97981.112235,false,6,5,False,False
45,105;132;149;302,96986.371629,false,6,5,False,False
46,105;132;144;297,96207.158437,false,6,5,False,True
47,105;132;144;307,94883.543021,false,7,5,False,True
48,100;132;144;307,95776.889876,false,7,5,False,False
49,110;132;144;307,98170.138560,true,7,5,False,False
50,105;127;144;307,95875.944422,false,7,5,False,False
51,105;137;144;307,95257.770969,false,7,5,False,False
52,105;132;139;307,97129.935008,false,7,5,False,False
53,105;132;149;307,96236.689315,false,7,5,False,False
54,105;132;144;302,95718.473752,true,7,5,True,False
55,100;132;144;307,95776.889876,true,8,5,False,True
56,110;132;144;307,98170.138560,true,8,5,False,False
57,105;127;144;307,95875.944422,true,8,5,False,False
58,105;137;144;307,95257.770969,true,8,5,False,True
59,105;132;139;307,97129.935008,true,9,5,False,True
60,105;132;149;307,96236.689315,true,9,5,False,True
61,105;132;144;302,95718.473752,true,10,5,True,True
62,100;132;144;307,95776.889876,true,10,5,False,False
63,110;132;144;307,98170.138560,true,10,5,False,False
64,105;127;144;307,95875.944422,true,10,5,False,False
65,105;137;144;307,95257.770969,true,10,5,True,False
66,105;132;139;307,97129.935008,true,10,5,False,False
67,105;132;149;307,96236.689315,true,10,5,True,False
68,105;132;144;302,95718.473752,true,10,5,True,False
69,100;132;144;307,95776.889876,true,11,6,False,True
70,110;132;144;307,98170.138560,true,11,6,False,False
71,105;127;144;307,95875.944422,true,11,6,False,False
72,105;137;144;307,95257.770969,true,11,6,True,False
73,105;132;139;307,97129.935008,true,11,6,False,False
74,105;132;149;307,96236.689315,true,11,6,True,False
75,105;132;144;302,95718.473752,true,11,6,True,False
76,100;132;144;307,95776.889876,true,11,6,False,False
77,110;132;144;307,98170.138560,true,12,6,False,True
78,105;127;144;307,95875.944422,true,12,6,False,True
79,105;137;144;307,95257.770969,true,13,6,True,True
80,105;132;139;307,97129.935008,true,13,6,False,False
81,105;132;149;307,96236.689315,true,13,6,True,False
82,105;132;144;302,95718.473752,true,13,6,True,False
83,100;132;144;307,95776.889876,true,13,6,True,False
84,110;132;144;307,98170.138560,true,13,6,False,False
85,105;127;144;307,95875.944422,true,13,6,True,False
86,105;137;144;307,95257.770969,true,13,6,True,False
87,105;132;139;307,97129.935008,true,14,7,False,True
88,105;132;149;307,96236.689315,true,14,7,True,False
89,105;132;144;302,95718.473752,true,14,7,True,False
