rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,20,29,105;140;255;0,105;173;223;305,3,,,91538.474948,95631.089035
2,1,40,49,105;168;223;310,151;168;191;359,3,,,91212.528494,103654.834256
3,1,40,142,105;168;223;310,63;203;223;359,3,,,91212.528494,110813.940785
4,1,40,177,105;168;223;310,159;122;223;351,3,,,91212.528494,100147.172468
5,1,40,228,105;168;223;310,69;168;274;353,3,,,91212.528494,99626.393989
6,1,40,289,105;168;223;310,145;212;223;279,3,,,91212.528494,96952.642334
7,1,40,305,105;168;223;310,157;168;170;263,3,,,91212.528494,104863.170007
8,1,40,342,105;168;223;310,105;216;181;351,3,,,91212.528494,98411.010747
9,1,40,394,105;168;223;310,63;209;281;310,3,,,91212.528494,99504.747428
10,1,40,403,105;168;223;310,140;212;187;310,3,,,91212.528494,94069.703111
