rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,3,12,60;150;180;290,60;150;189;290,1,2,9,97075.272388,98242.306028
1,2,12,13,60;150;189;290,66;150;189;290,1,0,6,98242.306028,98531.494926
1,3,13,14,66;150;189;290,66;142;189;290,1,1,8,98531.494926,97663.366801
2,1,30,39,51;142;179;290,51;136;179;290,1,1,6,95717.197194,99398.119278
2,2,39,40,51;136;179;290,51;136;179;296,1,3,6,99398.119278,100332.681501
2,3,40,41,51;136;179;296,51;136;186;296,1,2,7,100332.681501,100669.513991
3,1,74,83,51;141;181;281,51;141;181;289,1,3,8,91974.900295,92748.882263
3,2,83,84,51;141;181;289,51;141;173;289,1,2,8,92748.882263,93699.959487
3,3,84,85,51;141;173;289,44;141;173;289,1,0,7,93699.959487,93768.992929
4,1,74,107,51;141;181;281,51;141;181;273,1,3,8,91974.900295,90781.669205
4,2,107,108,51;141;181;273,51;147;181;273,1,1,6,90781.669205,94674.656041
4,3,108,109,51;147;181;273,42;147;181;273,1,0,9,94674.656041,94726.011826
5,1,74,121,51;141;181;281,43;141;181;281,1,0,8,91974.900295,92469.720499
5,2,121,122,43;141;181;281,43;141;181;287,1,3,6,92469.720499,93093.433288
5,3,122,123,43;141;181;287,43;149;181;287,1,1,8,93093.433288,98860.280927
6,1,74,158,51;141;181;281,51;141;188;281,1,2,7,91974.900295,93336.686512
6,2,158,159,51;141;188;281,59;141;188;281,1,0,8,93336.686512,93627.862163
6,3,159,160,59;141;188;281,59;147;188;281,1,1,6,93627.862163,97988.445219
7,1,74,182,51;141;181;281,57;141;181;281,1,0,6,91974.900295,92846.86567
7,2,182,183,57;141;181;281,57;141;172;281,1,2,9,92846.86567,93726.214348
7,3,183,184,57;141;172;281,57;141;172;273,1,3,8,93726.214348,91927.758056
8,1,192,201,42;141;167;273,42;132;167;273,1,1,9,90767.542271,94538.416818
8,2,201,202,42;132;167;273,42;132;167;279,1,3,6,94538.416818,95119.938602
8,3,202,203,42;132;167;279,34;132;167;279,1,0,8,95119.938602,95686.317611
9,1,192,218,42;141;167;273,42;148;167;273,1,1,7,90767.542271,95040.537428
9,2,218,219,42;148;167;273,33;148;167;273,1,0,9,95040.537428,96073.952576
9,3,219,220,33;148;167;273,33;148;176;273,1,2,9,96073.952576,95774.582422
10,1,192,247,42;141;167;273,42;147;167;273,1,1,6,90767.542271,95474.182427
10,2,247,248,42;147;167;273,42;147;167;282,1,3,9,95474.182427,98178.844535
10,3,248,249,42;147;167;282,42;147;176;282,1,2,9,98178.844535,98039.757255
