rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,11,20,35;70;125;255,35;70;125;261,1,3,6,101740.891397,103425.146852
1,2,20,21,35;70;125;261,41;70;125;261,1,0,6,103425.146852,103304.013482
1,3,21,22,41;70;125;261,41;70;131;261,1,2,6,103304.013482,102213.832391
2,1,45,54,36;70;141;256,29;70;141;256,1,0,7,93517.67075,94048.892517
2,2,54,55,29;70;141;256,29;79;141;256,1,1,9,94048.892517,93406.943862
2,3,55,56,29;79;141;256,29;79;141;249,1,3,7,93406.943862,95773.743674
3,1,45,84,36;70;141;256,36;79;141;256,1,1,9,93517.67075,92869.61643
3,2,84,85,36;79;141;256,27;79;141;256,1,0,9,92869.61643,93553.130976
3,3,85,86,27;79;141;256,27;79;133;256,1,2,8,93553.130976,98239.108111
4,1,45,101,36;70;141;256,36;70;141;247,1,3,9,93517.67075,96696.014075
4,2,101,102,36;70;141;247,36;70;149;247,1,2,8,96696.014075,102560.027301
4,3,102,103,36;70;149;247,36;79;149;247,1,1,9,102560.027301,100557.578163
5,1,45,124,36;70;141;256,29;70;141;256,1,0,7,93517.67075,94048.892517
5,2,124,125,29;70;141;256,29;61;141;256,1,1,9,94048.892517,94248.879854
5,3,125,126,29;61;141;256,29;61;141;265,1,3,9,94248.879854,95853.005618
6,1,139,148,34;56;141;270,34;62;141;270,1,1,6,93149.264202,93139.734273
6,2,148,149,34;62;141;270,34;62;141;277,1,3,7,93139.734273,94821.868635
6,3,149,150,34;62;141;277,34;62;150;277,1,2,9,94821.868635,99063.072304
7,1,181,190,14;57;140;272,20;57;140;272,1,0,6,91846.382004,92249.576179
7,2,190,191,20;57;140;272,20;57;140;278,1,3,6,92249.576179,96270.629477
7,3,191,192,20;57;140;278,20;64;140;278,1,1,7,96270.629477,96609.666967
8,1,181,218,14;57;140;272,14;57;132;272,1,2,8,91846.382004,96084.636992
8,2,218,219,14;57;132;272,14;57;132;279,1,3,7,96084.636992,97761.40441
8,3,219,220,14;57;132;279,14;65;132;279,1,1,8,97761.40441,98194.535985
9,1,181,234,14;57;140;272,22;57;140;272,1,0,8,91846.382004,92414.331823
9,2,234,235,22;57;140;272,22;57;140;278,1,3,6,92414.331823,96448.299309
9,3,235,236,22;57;140;278,22;48;140;278,1,1,9,96448.299309,96737.08297
10,1,181,263,14;57;140;272,14;51;140;272,1,1,6,91846.382004,91819.075017
10,2,263,264,14;51;140;272,14;51;140;265,1,3,7,91819.075017,95188.786949
10,3,264,265,14;51;140;265,23;51;140;265,1,0,9,95188.786949,95870.373484
