rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,30,39,50;150;160;310,83;205;106;310,3,,,96922.588078,97526.409715
2,1,44,53,78;210;106;310,78;179;153;6,3,,,96224.900675,100786.751917
3,1,44,79,78;210;106;310,45;269;139;310,3,,,96224.900675,96568.805413
4,1,97,106,40;279;144;310,40;337;106;2,3,,,93236.375242,97869.112376
5,1,97,145,40;279;144;310,40;244;111;352,3,,,93236.375242,101003.470026
6,1,97,182,40;279;144;310,355;279;109;263,3,,,93236.375242,100966.114668
7,1,97,204,40;279;144;310,5;279;185;275,3,,,93236.375242,108209.110462
8,1,97,238,40;279;144;310,80;279;99;253,3,,,93236.375242,107568.742076
9,1,97,308,40;279;144;310,356;245;112;310,3,,,93236.375242,99018.824791
10,1,330,339,356;225;102;310,310;177;102;277,3,,,90706.872988,94448.704319
