rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,30,39,50;150;160;310,59;150;160;310,1,0,9,96922.588078,97254.699427
1,2,39,40,59;150;160;310,59;158;160;310,1,1,8,97254.699427,98359.456613
1,3,40,41,59;158;160;310,59;158;154;310,1,2,6,98359.456613,98885.980063
2,1,49,58,59;168;154;310,59;168;154;318,1,3,8,96598.191256,98118.623019
2,2,58,59,59;168;154;318,59;160;154;318,1,1,8,98118.623019,99486.078331
2,3,59,60,59;160;154;318,59;160;163;318,1,2,9,99486.078331,101669.118452
3,1,100,109,49;140;168;308,49;148;168;308,1,1,8,91019.207516,95760.927148
3,2,109,110,49;148;168;308,40;148;168;308,1,0,9,95760.927148,96567.700666
3,3,110,111,40;148;168;308,40;148;175;308,1,2,7,96567.700666,97604.316589
4,1,100,139,49;140;168;308,49;140;159;308,1,2,9,91019.207516,93048.051775
4,2,139,140,49;140;159;308,49;140;159;315,1,3,7,93048.051775,94394.800693
4,3,140,141,49;140;159;315,49;148;159;315,1,1,8,94394.800693,98963.109011
5,1,100,172,49;140;168;308,49;132;168;308,1,1,8,91019.207516,96094.59188
5,2,172,173,49;132;168;308,49;132;160;308,1,2,8,96094.59188,97685.058735
5,3,173,174,49;132;160;308,49;132;160;317,1,3,9,97685.058735,96807.286019
6,1,100,186,49;140;168;308,43;140;168;308,1,0,6,91019.207516,91516.085794
6,2,186,187,43;140;168;308,43;140;161;308,1,2,7,91516.085794,93643.194638
6,3,187,188,43;140;161;308,43;140;161;299,1,3,9,93643.194638,96353.997976
7,1,100,240,49;140;168;308,49;140;175;308,1,2,7,91019.207516,92358.227081
7,2,240,241,49;140;175;308,43;140;175;308,1,0,6,92358.227081,92726.524511
7,3,241,242,43;140;175;308,43;140;175;301,1,3,7,92726.524511,94867.898718
8,1,100,261,49;140;168;308,49;140;162;308,1,2,6,91019.207516,93083.383595
8,2,261,262,49;140;162;308,49;140;162;300,1,3,8,93083.383595,94684.385682
8,3,262,263,49;140;162;300,55;140;162;300,1,0,6,94684.385682,95028.025366
9,1,100,299,49;140;168;308,49;134;168;308,1,1,6,91019.207516,95602.995714
9,2,299,300,49;134;168;308,41;134;168;308,1,0,8,95602.995714,96234.597496
9,3,300,301,41;134;168;308,41;134;162;308,1,2,6,96234.597496,98244.097022
10,1,100,317,49;140;168;308,49;140;168;301,1,3,7,91019.207516,92380.260879
10,2,317,318,49;140;168;301,49;132;168;301,1,1,8,92380.260879,96484.632439
10,3,318,319,49;132;168;301,40;132;168;301,1,0,9,96484.632439,97678.509681
