rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,29,38,80;140;175;315,92;140;175;315,1,0,12,91655.121355,91326.899896
1,2,38,39,92;140;175;315,92;153;175;315,1,1,13,91326.899896,96997.687253
1,3,39,40,92;153;175;315,92;153;156;315,1,2,19,96997.687253,98716.372958
2,1,57,66,102;143;176;315,102;143;176;332,1,3,17,90376.102086,92111.102766
2,2,66,67,102;143;176;332,102;125;176;332,1,1,18,92111.102766,93224.754114
2,3,67,68,102;125;176;332,102;125;195;332,1,2,19,93224.754114,94860.385921
3,1,57,86,102;143;176;315,102;157;176;315,1,1,14,90376.102086,92637.415198
3,2,86,87,102;157;176;315,85;157;176;315,1,0,17,92637.415198,99572.561936
3,3,87,88,85;157;176;315,85;157;189;315,1,2,13,99572.561936,100450.625267
4,1,57,109,102;143;176;315,102;143;157;315,1,2,19,90376.102086,92816.620502
4,2,109,110,102;143;157;315,102;143;157;330,1,3,15,92816.620502,94486.914531
4,3,110,111,102;143;157;330,102;156;157;330,1,1,13,94486.914531,95991.700108
5,1,57,138,102;143;176;315,102;131;176;315,1,1,12,90376.102086,93642.921403
5,2,138,139,102;131;176;315,102;131;159;315,1,2,17,93642.921403,94932.731736
5,3,139,140,102;131;159;315,102;131;159;333,1,3,18,94932.731736,94932.822657
6,1,156,165,102;141;179;333,91;141;179;333,1,0,11,88880.752091,92792.168554
6,2,165,166,91;141;179;333,91;141;164;333,1,2,15,92792.168554,93311.911261
6,3,166,167,91;141;164;333,91;141;164;316,1,3,17,93311.911261,92169.397497
7,1,156,190,102;141;179;333,102;141;195;333,1,2,16,88880.752091,90106.743044
7,2,190,191,102;141;195;333,85;141;195;333,1,0,17,90106.743044,94865.044884
7,3,191,192,85;141;195;333,85;141;195;320,1,3,13,94865.044884,94563.601495
8,1,156,222,102;141;179;333,102;141;165;333,1,2,14,88880.752091,89998.06595
8,2,222,223,102;141;165;333,102;141;165;314,1,3,19,89998.06595,88395.676426
8,3,223,224,102;141;165;314,117;141;165;314,1,0,15,88395.676426,93618.019002
9,1,156,240,102;141;179;333,102;123;179;333,1,1,18,88880.752091,93717.001953
9,2,240,241,102;123;179;333,86;123;179;333,1,0,16,93717.001953,99355.873787
9,3,241,242,86;123;179;333,86;123;168;333,1,2,11,99355.873787,97872.234721
10,1,156,274,102;141;179;333,102;141;179;322,1,3,11,88880.752091,88731.076289
10,2,274,275,102;141;179;322,102;124;179;322,1,1,17,88731.076289,93530.785435
10,3,275,276,102;124;179;322,83;124;179;322,1,0,19,93530.785435,99338.521909
