improvement,eval,angles_deg,objective
0,1,20;30;55;135,103634.283634
1,2,15;30;55;135,102582.084388
2,9,20;30;55;140,99859.739153
3,10,15;30;55;140,98793.346209
4,18,10;30;55;140,98629.149477
5,23,15;30;60;140,98176.129461
6,26,10;30;60;140,98083.269552
7,31,15;30;65;140,98062.464420
8,34,10;30;65;140,97962.900759
9,39,15;30;70;140,97550.473396
10,42,10;30;70;140,97416.296474
11,45,15;35;70;140,97285.080637
12,50,10;35;70;140,97180.248812
13,58,5;35;70;140,96595.359785
14,66,0;35;70;140,95821.649701
15,138,1;35;77;141,94583.353201
