rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,19,28,60;140;180;270,60;140;193;270,1,2,13,92117.979857,93319.285126
1,2,28,29,60;140;193;270,71;140;193;270,1,0,11,93319.285126,94761.014024
1,3,29,30,71;140;193;270,71;124;193;270,1,1,16,94761.014024,101090.502316
2,1,19,55,60;140;180;270,60;122;180;270,1,1,18,92117.979857,97834.518227
2,2,55,56,60;122;180;270,60;122;180;281,1,3,11,97834.518227,99505.029344
2,3,56,57,60;122;180;281,60;122;198;281,1,2,18,99505.029344,101486.545402
3,1,93,102,60;142;168;271,60;142;168;287,1,3,16,91305.628331,95194.061354
3,2,102,103,60;142;168;287,60;142;153;287,1,2,15,95194.061354,97474.021381
3,3,103,104,60;142;153;287,48;142;153;287,1,0,12,97474.021381,97321.551935
4,1,93,131,60;142;168;271,60;142;168;258,1,3,13,91305.628331,93299.429664
4,2,131,132,60;142;168;258,60;159;168;258,1,1,17,93299.429664,99805.502854
4,3,132,133,60;159;168;258,45;159;168;258,1,0,15,99805.502854,99547.479459
5,1,93,159,60;142;168;271,49;142;168;271,1,0,11,91305.628331,91560.165676
5,2,159,160,49;142;168;271,49;142;168;286,1,3,15,91560.165676,94923.770459
5,3,160,161,49;142;168;286,49;154;168;286,1,1,12,94923.770459,97751.657457
6,1,93,183,60;142;168;271,60;142;183;271,1,2,15,91305.628331,92365.898962
6,2,183,184,60;142;183;271,77;142;183;271,1,0,17,92365.898962,94279.044548
6,3,184,185,77;142;183;271,77;154;183;271,1,1,12,94279.044548,95761.175713
7,1,93,201,60;142;168;271,77;142;168;271,1,0,17,91305.628331,93179.352411
7,2,201,202,77;142;168;271,77;142;152;271,1,2,16,93179.352411,95584.733145
7,3,202,203,77;142;152;271,77;142;152;254,1,3,17,95584.733145,99079.308395
8,1,93,214,60;142;168;271,60;130;168;271,1,1,12,91305.628331,94615.088789
8,2,214,215,60;130;168;271,60;130;168;286,1,3,15,94615.088789,97843.763297
8,3,215,216,60;130;168;286,43;130;168;286,1,0,17,97843.763297,98203.493515
9,1,93,240,60;142;168;271,60;161;168;271,1,1,19,91305.628331,98651.418093
9,2,240,241,60;161;168;271,41;161;168;271,1,0,19,98651.418093,99319.693389
9,3,241,242,41;161;168;271,41;161;181;271,1,2,13,99319.693389,98034.935169
10,1,252,261,61;141;181;271,61;158;181;271,1,1,17,89882.173134,95069.343678
10,2,261,262,61;158;181;271,61;158;181;286,1,3,15,95069.343678,98353.230303
10,3,262,263,61;158;181;286,61;158;198;286,1,2,17,98353.230303,100668.5446
