rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,18,27,35;135;255;355,35;135;273;355,1,2,18,98489.251831,97059.507376
1,2,27,28,35;135;273;355,35;151;273;355,1,1,16,97059.507376,98756.985566
1,3,28,29,35;151;273;355,21;151;273;355,1,0,14,98756.985566,99103.862781
2,1,46,55,51;141;273;5,66;141;273;5,1,0,15,91920.197152,92373.777582
2,2,55,56,66;141;273;5,66;141;285;5,1,2,12,92373.777582,94498.325017
2,3,56,57,66;141;285;5,66;159;285;5,1,1,18,94498.325017,101474.149732
3,1,46,90,51;141;273;5,51;141;273;18,1,3,13,91920.197152,92566.956514
3,2,90,91,51;141;273;18,51;141;258;18,1,2,15,92566.956514,93266.003416
3,3,91,92,51;141;258;18,67;141;258;18,1,0,16,93266.003416,94658.645265
4,1,111,120,47;141;258;358,47;126;258;358,1,1,15,91580.199592,97045.495331
4,2,120,121,47;126;258;358,47;126;246;358,1,2,12,97045.495331,100439.357945
4,3,121,122,47;126;246;358,47;126;246;347,1,3,11,100439.357945,101389.490856
5,1,111,176,47;141;258;358,47;123;258;358,1,1,18,91580.199592,96818.203614
5,2,176,177,47;123;258;358,61;123;258;358,1,0,14,96818.203614,97604.65936
5,3,177,178,61;123;258;358,61;123;258;15,1,3,17,97604.65936,100255.485925
6,1,111,203,47;141;258;358,47;155;258;358,1,1,14,91580.199592,98228.357623
6,2,203,204,47;155;258;358,47;155;258;347,1,3,11,98228.357623,98931.326499
6,3,204,205,47;155;258;347,47;155;275;347,1,2,17,98931.326499,99483.864779
7,1,111,229,47;141;258;358,29;141;258;358,1,0,18,91580.199592,91757.22519
7,2,229,230,29;141;258;358,29;141;276;358,1,2,18,91757.22519,94022.73737
7,3,230,231,29;141;276;358,29;122;276;358,1,1,19,94022.73737,99642.135355
8,1,111,254,47;141;258;358,28;141;258;358,1,0,19,91580.199592,91794.510964
8,2,254,255,28;141;258;358,28;141;242;358,1,2,16,91794.510964,94826.690403
8,3,255,256,28;141;242;358,28;122;242;358,1,1,19,94826.690403,100655.393305
9,1,111,300,47;141;258;358,47;157;258;358,1,1,16,91580.199592,98589.031477
9,2,300,301,47;157;258;358,58;157;258;358,1,0,11,98589.031477,98355.98507
9,3,301,302,58;157;258;358,58;157;258;341,1,3,17,98355.98507,99208.654624
10,1,111,335,47;141;258;358,47;141;258;15,1,3,17,91580.199592,92729.475644
10,2,335,336,47;141;258;15,47;141;242;15,1,2,16,92729.475644,96153.833025
10,3,336,337,47;141;242;15,34;141;242;15,1,0,13,96153.833025,96168.188442
