rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,22,31,40;105;135;255,40;105;135;272,1,3,17,95469.136246,94181.94602
1,2,31,32,40;105;135;272,56;105;135;272,1,0,16,94181.94602,94209.921769
1,3,32,33,56;105;135;272,56;105;153;272,1,2,18,94209.921769,95063.50819
2,1,38,47,56;105;143;272,40;105;143;272,1,0,16,93511.963492,93533.428811
2,2,47,48,40;105;143;272,40;118;143;272,1,1,13,93533.428811,94645.715075
2,3,48,49,40;118;143;272,40;118;143;255,1,3,17,94645.715075,97627.484374
3,1,38,67,56;105;143;272,56;120;143;272,1,1,15,93511.963492,94719.727701
3,2,67,68,56;120;143;272,42;120;143;272,1,0,14,94719.727701,94511.703248
3,3,68,69,42;120;143;272,42;120;132;272,1,2,11,94511.703248,95468.438211
4,1,78,87,42;110;142;272,42;110;142;256,1,3,16,93192.49792,93619.717073
4,2,87,88,42;110;142;256,42;110;158;256,1,2,16,93619.717073,96096.371128
4,3,88,89,42;110;158;256,42;129;158;256,1,1,19,96096.371128,96258.822593
5,1,78,104,42;110;142;272,28;110;142;272,1,0,14,93192.49792,94034.156615
5,2,104,105,28;110;142;272,28;98;142;272,1,1,12,94034.156615,94929.73583
5,3,105,106,28;98;142;272,28;98;142;289,1,3,17,94929.73583,95750.627418
6,1,78,124,42;110;142;272,42;125;142;272,1,1,15,93192.49792,92914.852562
6,2,124,125,42;125;142;272,42;125;142;288,1,3,16,92914.852562,96959.964499
6,3,125,126,42;125;142;288,42;125;158;288,1,2,16,96959.964499,99589.878195
7,1,78,166,42;110;142;272,57;110;142;272,1,0,15,93192.49792,93677.954568
7,2,166,167,57;110;142;272,57;110;142;285,1,3,13,93677.954568,97137.209481
7,3,167,168,57;110;142;285,57;126;142;285,1,1,16,97137.209481,97866.590737
8,1,78,192,42;110;142;272,42;110;124;272,1,2,18,93192.49792,97337.309112
8,2,192,193,42;110;124;272,42;110;124;286,1,3,14,97337.309112,102093.029227
8,3,193,194,42;110;124;286,42;128;124;286,1,1,18,102093.029227,101681.712481
9,1,236,245,42;148;104;316,59;148;104;316,1,0,17,92596.861866,92988.920767
9,2,245,246,59;148;104;316,59;148;104;327,1,3,11,92988.920767,94194.721654
9,3,246,247,59;148;104;327,59;129;104;327,1,1,19,94194.721654,95632.019324
10,1,236,273,42;148;104;316,42;133;104;316,1,1,15,92596.861866,95101.090419
10,2,273,274,42;133;104;316,42;133;104;297,1,3,19,95101.090419,96179.639632
10,3,274,275,42;133;104;297,60;133;104;297,1,0,18,96179.639632,95987.579974
