rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,9,18,100;140;230;330,100;140;230;349,1,3,19,91745.782017,93712.140919
1,2,18,19,100;140;230;349,100;158;230;349,1,1,18,93712.140919,99063.453848
1,3,19,20,100;158;230;349,100;158;214;349,1,2,16,99063.453848,99766.842799
2,1,9,60,100;140;230;330,100;140;230;345,1,3,15,91745.782017,93709.043178
2,2,60,61,100;140;230;345,114;140;230;345,1,0,14,93709.043178,95102.09159
2,3,61,62,114;140;230;345,114;140;214;345,1,2,16,95102.09159,95515.927986
3,1,90,99,104;140;224;315,104;140;237;315,1,2,13,89737.760625,90587.002895
3,2,99,100,104;140;237;315,92;140;237;315,1,0,12,90587.002895,91760.573852
3,3,100,101,92;140;237;315,92;125;237;315,1,1,15,91760.573852,97547.622771
4,1,90,135,104;140;224;315,104;155;224;315,1,1,15,89737.760625,94202.1381
4,2,135,136,104;155;224;315,104;155;224;333,1,3,18,94202.1381,94737.326057
4,3,136,137,104;155;224;333,104;155;206;333,1,2,18,94737.326057,95414.9526
5,1,90,182,104;140;224;315,104;140;241;315,1,2,17,89737.760625,90868.373018
5,2,182,183,104;140;241;315,104;154;241;315,1,1,14,90868.373018,95130.035458
5,3,183,184,104;154;241;315,104;154;241;329,1,3,14,95130.035458,95125.124554
6,1,90,209,104;140;224;315,104;126;224;315,1,1,14,89737.760625,94454.005241
6,2,209,210,104;126;224;315,90;126;224;315,1,0,14,94454.005241,97650.826052
6,3,210,211,90;126;224;315,90;126;224;329,1,3,14,97650.826052,97232.896865
7,1,90,234,104;140;224;315,119;140;224;315,1,0,15,89737.760625,92212.266157
7,2,234,235,119;140;224;315,119;140;224;328,1,3,13,92212.266157,92905.373924
7,3,235,236,119;140;224;328,119;140;238;328,1,2,14,92905.373924,94666.114026
8,1,90,266,104;140;224;315,104;140;211;315,1,2,13,89737.760625,90459.476609
8,2,266,267,104;140;211;315,92;140;211;315,1,0,12,90459.476609,91442.200321
8,3,267,268,92;140;211;315,92;151;211;315,1,1,11,91442.200321,96202.01633
9,1,279,288,102;141;221;315,102;159;221;315,1,1,18,87082.110079,92638.241128
9,2,288,289,102;159;221;315,102;159;221;330,1,3,15,92638.241128,92148.805362
9,3,289,290,102;159;221;330,102;159;207;330,1,2,14,92148.805362,93187.186232
10,1,279,311,102;141;221;315,102;141;221;332,1,3,17,87082.110079,88617.299324
10,2,311,312,102;141;221;332,102;141;240;332,1,2,19,88617.299324,88932.949828
10,3,312,313,102;141;240;332,102;159;240;332,1,1,18,88932.949828,93314.499533
