rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,20,29,225;255;270;310,225;261;270;310,1,1,6,95247.543186,96893.663128
1,2,29,30,225;261;270;310,225;261;279;310,1,2,9,96893.663128,96345.731387
1,3,30,31,225;261;279;310,232;261;279;310,1,0,7,96345.731387,99092.276947
2,1,41,50,222;256;274;310,222;256;265;310,1,2,9,94733.261532,96317.589788
2,2,50,51,222;256;265;310,222;256;265;302,1,3,8,96317.589788,98639.756107
2,3,51,52,222;256;265;302,222;249;265;302,1,1,7,98639.756107,101298.477439
3,1,41,95,222;256;274;310,222;250;274;310,1,1,6,94733.261532,97203.126315
3,2,95,96,222;250;274;310,222;250;274;302,1,3,8,97203.126315,99632.880342
3,3,96,97,222;250;274;302,215;250;274;302,1,0,7,99632.880342,100524.402833
4,1,135,144,225;255;279;317,225;255;279;326,1,3,9,93742.793352,94330.476712
4,2,144,145,225;255;279;326,225;255;270;326,1,2,9,94330.476712,95122.143859
4,3,145,146,225;255;270;326,225;261;270;326,1,1,6,95122.143859,96555.25787
5,1,161,170,225;256;280;326,225;256;273;326,1,2,7,93421.784801,93559.629855
5,2,170,171,225;256;273;326,225;264;273;326,1,1,8,93559.629855,96253.389146
5,3,171,172,225;264;273;326,225;264;273;333,1,3,7,96253.389146,97397.951883
6,1,161,201,225;256;280;326,225;256;271;326,1,2,9,93421.784801,92581.194281
6,2,201,202,225;256;271;326,217;256;271;326,1,0,8,92581.194281,93473.148543
6,3,202,203,217;256;271;326,217;256;271;320,1,3,6,93473.148543,94456.075525
7,1,161,224,225;256;280;326,225;256;280;320,1,3,6,93421.784801,93697.548738
7,2,224,225,225;256;280;320,225;256;274;320,1,2,6,93697.548738,93967.081621
7,3,225,226,225;256;274;320,219;256;274;320,1,0,6,93967.081621,95357.695391
8,1,161,245,225;256;280;326,225;247;280;326,1,1,9,93421.784801,95940.483333
8,2,245,246,225;247;280;326,225;247;274;326,1,2,6,95940.483333,96253.94929
8,3,246,247,225;247;274;326,216;247;274;326,1,0,9,96253.94929,97543.369023
9,1,161,268,225;256;280;326,225;256;273;326,1,2,7,93421.784801,93559.629855
9,2,268,269,225;256;273;326,225;262;273;326,1,1,6,93559.629855,96256.412968
9,3,269,270,225;262;273;326,225;262;273;333,1,3,7,96256.412968,97259.453476
10,1,161,296,225;256;280;326,225;262;280;326,1,1,6,93421.784801,96324.886535
10,2,296,297,225;262;280;326,217;262;280;326,1,0,8,96324.886535,98438.180621
10,3,297,298,217;262;280;326,217;262;272;326,1,2,8,98438.180621,96626.998797
