rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,18,27,355;45;105;140,355;45;89;140,1,2,16,92346.92281,95173.700881
1,2,27,28,355;45;89;140,355;45;89;154,1,3,14,95173.700881,100880.827378
1,3,28,29,355;45;89;154,355;32;89;154,1,1,13,100880.827378,101483.31695
2,1,18,78,355;45;105;140,355;29;105;140,1,1,16,92346.92281,92553.250363
2,2,78,79,355;29;105;140,6;29;105;140,1,0,11,92553.250363,92790.730833
2,3,79,80,6;29;105;140,6;29;123;140,1,2,18,92790.730833,96265.106611
3,1,102,111,356;39;103;140,345;39;103;140,1,0,11,90680.941725,91592.305529
3,2,111,112,345;39;103;140,345;39;84;140,1,2,19,91592.305529,95787.323213
3,3,112,113,345;39;84;140,345;39;84;123,1,3,17,95787.323213,101240.684629
4,1,102,137,356;39;103;140,356;23;103;140,1,1,16,90680.941725,91144.89244
4,2,137,138,356;23;103;140,356;23;103;155,1,3,15,91144.89244,97098.068354
4,3,138,139,356;23;103;155,8;23;103;155,1,0,12,97098.068354,98259.699773
5,1,102,175,356;39;103;140,356;55;103;140,1,1,16,90680.941725,90826.143738
5,2,175,176,356;55;103;140,345;55;103;140,1,0,11,90826.143738,91969.807799
5,3,176,177,345;55;103;140,345;55;115;140,1,2,12,91969.807799,95697.846166
6,1,191,200,315;35;105;140,301;35;105;140,1,0,14,90243.453385,92521.102818
6,2,200,201,301;35;105;140,301;18;105;140,1,1,17,92521.102818,93142.80504
6,3,201,202,301;18;105;140,301;18;119;140,1,2,14,93142.80504,96034.009346
7,1,191,226,315;35;105;140,315;23;105;140,1,1,12,90243.453385,90811.507166
7,2,226,227,315;23;105;140,297;23;105;140,1,0,18,90811.507166,92874.755942
7,3,227,228,297;23;105;140,297;23;91;140,1,2,14,92874.755942,95075.81797
8,1,191,250,315;35;105;140,315;35;105;153,1,3,13,90243.453385,94909.004465
8,2,250,251,315;35;105;153,302;35;105;153,1,0,13,94909.004465,96276.049419
8,3,251,252,302;35;105;153,302;52;105;153,1,1,17,96276.049419,96207.939485
9,1,191,273,315;35;105;140,315;35;119;140,1,2,14,90243.453385,94139.745249
9,2,273,274,315;35;119;140,315;54;119;140,1,1,19,94139.745249,94043.086559
9,3,274,275,315;54;119;140,315;54;119;153,1,3,13,94043.086559,98888.240064
10,1,191,307,315;35;105;140,298;35;105;140,1,0,17,90243.453385,92281.637261
10,2,307,308,298;35;105;140,298;35;123;140,1,2,18,92281.637261,95693.012244
10,3,308,309,298;35;123;140,298;35;123;159,1,3,19,95693.012244,101007.80175
