rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,79,88,15;105;140;225,15;105;140;231,1,3,6,90788.583744,91860.416655
1,2,88,89,15;105;140;231,15;105;134;231,1,2,6,91860.416655,94914.983439
1,3,89,90,15;105;134;231,9;105;134;231,1,0,6,94914.983439,95931.442233
2,1,79,108,15;105;140;225,15;114;140;225,1,1,9,90788.583744,92291.16044
2,2,108,109,15;114;140;225,9;114;140;225,1,0,6,92291.16044,92866.312306
2,3,109,110,9;114;140;225,9;114;148;225,1,2,8,92866.312306,95821.718788
3,1,79,132,15;105;140;225,15;97;140;225,1,1,8,90788.583744,91910.792123
3,2,132,133,15;97;140;225,24;97;140;225,1,0,9,91910.792123,92489.332043
3,3,133,134,24;97;140;225,24;97;140;218,1,3,7,92489.332043,93510.091731
4,1,148,157,14;102;140;223,22;102;140;223,1,0,8,89588.197051,89899.285377
4,2,157,158,22;102;140;223,22;102;140;229,1,3,6,89899.285377,90219.663328
4,3,158,159,22;102;140;229,22;102;132;229,1,2,8,90219.663328,93783.028006
5,1,148,169,14;102;140;223,14;111;140;223,1,1,9,89588.197051,93166.417194
5,2,169,170,14;111;140;223,20;111;140;223,1,0,6,93166.417194,93316.16352
5,3,170,171,20;111;140;223,20;111;140;231,1,3,8,93316.16352,94248.45632
6,1,148,195,14;102;140;223,14;102;148;223,1,2,8,89588.197051,92585.513795
6,2,195,196,14;102;148;223,5;102;148;223,1,0,9,92585.513795,92539.894926
6,3,196,197,5;102;148;223,5;102;148;215,1,3,8,92539.894926,93108.271054
7,1,148,228,14;102;140;223,14;102;140;217,1,3,6,89588.197051,89879.62655
7,2,228,229,14;102;140;217,14;102;131;217,1,2,9,89879.62655,94922.868509
7,3,229,230,14;102;131;217,14;93;131;217,1,1,9,94922.868509,98546.003897
8,1,148,270,14;102;140;223,14;102;146;223,1,2,6,89588.197051,93218.940648
8,2,270,271,14;102;146;223,14;102;146;229,1,3,6,93218.940648,93292.314488
8,3,271,272,14;102;146;229,8;102;146;229,1,0,6,93292.314488,93768.82511
9,1,278,287,3;102;141;229,3;102;132;229,1,2,9,88618.446729,92357.63993
9,2,287,288,3;102;132;229,3;96;132;229,1,1,6,92357.63993,95886.630715
9,3,288,289,3;96;132;229,3;96;132;223,1,3,6,95886.630715,95388.980399
10,1,278,298,3;102;141;229,3;109;141;229,1,1,7,88618.446729,91369.99865
10,2,298,299,3;109;141;229,354;109;141;229,1,0,9,91369.99865,91730.188444
10,3,299,300,354;109;141;229,354;109;141;237,1,3,8,91730.188444,92386.843278
