eval,angles_deg,objective,cached,ronda,tenure,prohibido,aceptado
1,64;151;269;311,97346.978865,false,0,,,
2,59;151;269;311,96891.940747,false,1,5,False,True
3,69;151;269;311,97083.814794,false,1,5,False,False
4,64;146;269;311,95949.286392,false,1,5,False,True
5,59;146;269;311,95331.964698,false,2,5,False,True
6,69;146;269;311,95966.517861,false,2,5,False,False
7,64;141;269;311,91443.689474,false,2,5,False,True
8,59;141;269;311,90715.363423,false,3,5,False,True
9,69;141;269;311,91415.435982,false,3,5,False,False
10,64;136;269;311,97862.791278,false,3,5,False,False
11,64;146;269;311,95949.286392,true,3,5,True,False
12,64;141;264;311,93333.522026,false,3,5,False,False
13,64;141;274;311,91157.506698,false,3,5,False,False
14,64;141;269;306,92038.844628,false,3,5,False,False
15,64;141;269;316,91691.465960,false,3,5,False,False
16,54;141;269;311,91034.568333,false,4,5,False,True
17,64;141;269;311,91443.689474,true,4,5,True,False
18,59;136;269;311,97140.642096,false,4,5,False,False
19,59;146;269;311,95331.964698,true,4,5,False,False
20,59;141;264;311,92434.829459,false,4,5,False,False
21,59;141;274;311,90473.444513,false,4,5,False,True
22,54;141;274;311,90698.831388,false,5,5,False,True
23,64;141;274;311,91157.506698,true,5,5,False,False
24,59;136;274;311,97010.981623,false,5,5,False,False
25,59;146;274;311,95121.572407,false,5,5,False,False
26,59;141;269;311,90715.363423,true,5,5,True,False
27,59;141;279;311,89874.799519,false,5,5,False,True
28,54;141;279;311,89992.725127,false,6,5,False,True
29,64;141;279;311,90378.248198,false,6,5,False,False
30,59;136;279;311,95426.976329,false,6,5,False,False
31,59;146;279;311,94466.557847,false,6,5,False,False
32,59;141;274;311,90473.444513,true,6,5,True,False
33,59;141;284;311,92189.454234,false,6,5,False,False
34,59;141;279;306,90646.710300,false,6,5,False,False
35,59;141;279;316,90204.750968,false,6,5,False,False
36,54;141;279;311,89992.725127,true,7,5,True,True
37,64;141;279;311,90378.248198,true,7,5,False,False
38,59;136;279;311,95426.976329,true,7,5,False,False
39,59;146;279;311,94466.557847,true,7,5,False,False
40,59;141;274;311,90473.444513,true,7,5,True,False
41,59;141;284;311,92189.454234,true,7,5,False,False
42,59;141;279;306,90646.710300,true,7,5,False,False
43,59;141;279;316,90204.750968,true,7,5,False,False
44,54;141;279;311,89992.725127,true,8,6,True,True
45,64;141;279;311,90378.248198,true,8,6,False,False
46,59;136;279;311,95426.976329,true,8,6,False,False
47,59;146;279;311,94466.557847,true,8,6,False,False
48,59;141;274;311,90473.444513,true,8,6,True,False
49,59;141;284;311,92189.454234,true,8,6,False,False
50,59;141;279;306,90646.710300,true,8,6,False,False
51,59;141;279;316,90204.750968,true,8,6,False,False
52,54;141;279;311,89992.725127,true,9,7,True,True
