rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,20,29,105;140;255;0,105;140;255;352,1,3,8,91538.474948,93295.235013
1,2,29,30,105;140;255;352,105;148;255;352,1,1,8,93295.235013,96191.343967
1,3,30,31,105;148;255;352,105;148;247;352,1,2,8,96191.343967,96507.350632
2,1,20,60,105;140;255;0,105;140;255;6,1,3,6,91538.474948,92614.553446
2,2,60,61,105;140;255;6,105;140;249;6,1,2,6,92614.553446,93120.119111
2,3,61,62,105;140;249;6,113;140;249;6,1,0,8,93120.119111,95116.113433
3,1,86,95,103;140;234;1,103;140;234;8,1,3,7,90441.957878,91740.871616
3,2,95,96,103;140;234;8,103;149;234;8,1,1,9,91740.871616,95992.328251
3,3,96,97,103;149;234;8,97;149;234;8,1,0,6,95992.328251,97592.908456
4,1,86,128,103;140;234;1,112;140;234;1,1,0,9,90441.957878,93955.315745
4,2,128,129,112;140;234;1,112;140;234;8,1,3,7,93955.315745,95239.504866
4,3,129,130,112;140;234;8,112;133;234;8,1,1,7,95239.504866,100265.640542
5,1,86,166,103;140;234;1,103;140;234;7,1,3,6,90441.957878,91471.895148
5,2,166,167,103;140;234;7,96;140;234;7,1,0,7,91471.895148,93298.279761
5,3,167,168,96;140;234;7,96;140;243;7,1,2,9,93298.279761,93639.669866
6,1,86,211,103;140;234;1,103;140;234;352,1,3,9,90441.957878,91799.682672
6,2,211,212,103;140;234;352,111;140;234;352,1,0,8,91799.682672,94769.531609
6,3,212,213,111;140;234;352,111;147;234;352,1,1,7,94769.531609,98968.219048
7,1,86,246,103;140;234;1,103;140;234;354,1,3,7,90441.957878,90884.213107
7,2,246,247,103;140;234;354,109;140;234;354,1,0,6,90884.213107,92950.968189
7,3,247,248,109;140;234;354,109;140;228;354,1,2,6,92950.968189,92313.331218
8,1,86,279,103;140;234;1,103;140;234;9,1,3,8,90441.957878,91600.067402
8,2,279,280,103;140;234;9,103;146;234;9,1,1,6,91600.067402,95562.242088
8,3,280,281,103;146;234;9,103;146;227;9,1,2,7,95562.242088,95332.22738
9,1,303,312,103;141;222;359,103;141;230;359,1,2,8,90127.121395,90159.748001
9,2,312,313,103;141;230;359,103;147;230;359,1,1,6,90159.748001,94183.720699
9,3,313,314,103;147;230;359,96;147;230;359,1,0,7,94183.720699,96084.599856
10,1,303,331,103;141;222;359,103;148;222;359,1,1,7,90127.121395,93179.827764
10,2,331,332,103;148;222;359,103;148;213;359,1,2,9,93179.827764,94019.789846
10,3,332,333,103;148;213;359,110;148;213;359,1,0,7,94019.789846,96930.634928
