rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,46,55,325;80;220;270,325;80;220;284,1,3,14,96094.192268,97929.562801
1,2,55,56,325;80;220;284,306;80;220;284,1,0,19,97929.562801,99547.801285
1,3,56,57,306;80;220;284,306;80;209;284,1,2,11,99547.801285,100320.923401
2,1,46,83,325;80;220;270,325;80;220;254,1,3,16,96094.192268,98442.342502
2,2,83,84,325;80;220;254,325;80;234;254,1,2,14,98442.342502,99301.180523
2,3,84,85,325;80;234;254,306;80;234;254,1,0,19,99301.180523,100270.379867
3,1,100,109,316;100;224;254,316;115;224;254,1,1,15,95342.582414,96366.917173
3,2,109,110,316;115;224;254,297;115;224;254,1,0,19,96366.917173,100834.440388
3,3,110,111,297;115;224;254,297;115;224;235,1,3,19,100834.440388,103217.844837
4,1,135,144,317;105;204;225,317;105;186;225,1,2,18,93422.385611,92493.329386
4,2,144,145,317;105;186;225,300;105;186;225,1,0,17,92493.329386,97526.325956
4,3,145,146,300;105;186;225,300;105;186;206,1,3,19,97526.325956,98678.870529
5,1,135,170,317;105;204;225,305;105;204;225,1,0,12,93422.385611,97066.070345
5,2,170,171,305;105;204;225,305;105;191;225,1,2,13,97066.070345,97119.303201
5,3,171,172,305;105;191;225,305;105;191;242,1,3,17,97119.303201,98902.052848
6,1,135,198,317;105;204;225,317;89;204;225,1,1,16,93422.385611,96017.873156
6,2,198,199,317;89;204;225,300;89;204;225,1,0,17,96017.873156,100803.503144
6,3,199,200,300;89;204;225,300;89;188;225,1,2,16,100803.503144,99189.259431
7,1,214,223,330;79;178;225,341;79;178;225,1,0,11,92812.82163,95845.117975
7,2,223,224,341;79;178;225,341;65;178;225,1,1,14,95845.117975,97829.379698
7,3,224,225,341;65;178;225,341;65;178;242,1,3,17,97829.379698,100920.347425
8,1,214,260,330;79;178;225,346;79;178;225,1,0,16,92812.82163,97373.569288
8,2,260,261,346;79;178;225,346;97;178;225,1,1,18,97373.569288,96742.813167
8,3,261,262,346;97;178;225,346;97;178;208,1,3,17,96742.813167,97981.920325
9,1,286,295,316;97;168;228,316;97;168;247,1,3,19,92306.714623,93261.252202
9,2,295,296,316;97;168;247,316;112;168;247,1,1,15,93261.252202,95901.805715
9,3,296,297,316;112;168;247,316;112;157;247,1,2,11,95901.805715,98439.745249
10,1,323,332,316;102;167;227,316;102;167;244,1,3,17,90465.869329,91340.836936
10,2,332,333,316;102;167;244,316;114;167;244,1,1,12,91340.836936,96141.720595
10,3,333,334,316;114;167;244,330;114;167;244,1,0,14,96141.720595,96988.302068
