rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,36,45,100;145;230;15,100;145;230;1,1,3,14,95592.865977,95268.358576
1,2,45,46,100;145;230;1,100;156;230;1,1,1,11,95268.358576,97247.79184
1,3,46,47,100;156;230;1,100;156;213;1,1,2,17,97247.79184,98258.161518
2,1,56,65,100;146;223;1,100;146;223;12,1,3,11,95444.072043,96421.687327
2,2,65,66,100;146;223;12,100;146;204;12,1,2,19,96421.687327,97588.920617
2,3,66,67,100;146;204;12,113;146;204;12,1,0,13,97588.920617,99581.808469
3,1,94,103,103;146;224;2,103;146;224;18,1,3,16,94235.08216,94555.079799
3,2,103,104,103;146;224;18,103;165;224;18,1,1,19,94555.079799,96876.406518
3,3,104,105,103;165;224;18,90;165;224;18,1,0,13,96876.406518,101201.583048
4,1,94,122,103;146;224;2,117;146;224;2,1,0,14,94235.08216,97050.777365
4,2,122,123,117;146;224;2,117;146;224;19,1,3,17,97050.777365,97393.616863
4,3,123,124,117;146;224;19,117;131;224;19,1,1,15,97393.616863,98768.756623
5,1,129,138,107;141;224;19,107;141;224;34,1,3,15,91699.720593,92080.03815
5,2,138,139,107;141;224;34,96;141;224;34,1,0,11,92080.03815,92760.358692
5,3,139,140,96;141;224;34,96;141;240;34,1,2,16,92760.358692,93100.533091
6,1,180,189,106;141;220;354,106;141;220;338,1,3,16,91419.936975,91880.801582
6,2,189,190,106;141;220;338,120;141;220;338,1,0,14,91880.801582,94318.671954
6,3,190,191,120;141;220;338,120;155;220;338,1,1,14,94318.671954,100532.658465
7,1,180,226,106;141;220;354,106;141;220;339,1,3,15,91419.936975,91872.042382
7,2,226,227,106;141;220;339,117;141;220;339,1,0,11,91872.042382,93850.501256
7,3,227,228,117;141;220;339,117;141;204;339,1,2,16,93850.501256,94334.715154
8,1,262,271,107;141;224;309,107;141;224;325,1,3,16,89386.119139,90452.547335
8,2,271,272,107;141;224;325,107;159;224;325,1,1,18,90452.547335,94823.108232
8,3,272,273,107;159;224;325,107;159;213;325,1,2,11,94823.108232,96629.283234
9,1,262,298,107;141;224;309,107;141;242;309,1,2,18,89386.119139,90488.135503
9,2,298,299,107;141;242;309,107;157;242;309,1,1,16,90488.135503,95284.337521
9,3,299,300,107;157;242;309,88;157;242;309,1,0,19,95284.337521,97699.008799
10,1,262,314,107;141;224;309,107;154;224;309,1,1,13,89386.119139,94713.325625
10,2,314,315,107;154;224;309,107;154;208;309,1,2,16,94713.325625,95582.257132
10,3,315,316,107;154;208;309,123;154;208;309,1,0,16,95582.257132,98985.504034
