rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,29,38,0;105;140;255,0;97;140;255,1,1,8,91538.474948,91784.733292
1,2,38,39,0;97;140;255,0;97;131;255,1,2,9,91784.733292,96011.212931
1,3,39,40,0;97;131;255,0;97;131;249,1,3,6,96011.212931,96749.543834
2,1,84,93,0;102;141;229,0;102;135;229,1,2,6,88658.896415,91952.810608
2,2,93,94,0;102;135;229,0;111;135;229,1,1,9,91952.810608,97464.008331
2,3,94,95,0;111;135;229,0;111;135;221,1,3,8,97464.008331,97075.54556
3,1,84,125,0;102;141;229,0;109;141;229,1,1,7,88658.896415,91328.590981
3,2,125,126,0;109;141;229,354;109;141;229,1,0,6,91328.590981,91730.188444
3,3,126,127,354;109;141;229,354;109;148;229,1,2,7,91730.188444,95875.718093
4,1,84,159,0;102;141;229,0;102;141;221,1,3,8,88658.896415,88852.628104
4,2,159,160,0;102;141;221,0;95;141;221,1,1,7,88852.628104,91330.103357
4,3,160,161,0;95;141;221,0;95;133;221,1,2,8,91330.103357,96553.194818
5,1,84,198,0;102;141;229,0;102;141;238,1,3,9,88658.896415,89012.607996
5,2,198,199,0;102;141;238,0;108;141;238,1,1,6,89012.607996,92267.487619
5,3,199,200,0;108;141;238,0;108;147;238,1,2,6,92267.487619,96741.15144
6,1,84,238,0;102;141;229,0;102;132;229,1,2,9,88658.896415,92196.005123
6,2,238,239,0;102;132;229,6;102;132;229,1,0,6,92196.005123,93270.280094
6,3,239,240,6;102;132;229,6;102;132;223,1,3,6,93270.280094,93263.580581
7,1,84,250,0;102;141;229,0;111;141;229,1,1,9,88658.896415,92004.232369
7,2,250,251,0;111;141;229,353;111;141;229,1,0,7,92004.232369,92565.085189
7,3,251,252,353;111;141;229,353;111;150;229,1,2,9,92565.085189,97552.095485
8,1,84,275,0;102;141;229,0;102;147;229,1,2,6,88658.896415,92678.803246
8,2,275,276,0;102;147;229,0;102;147;236,1,3,7,92678.803246,92718.849581
8,3,276,277,0;102;147;236,0;111;147;236,1,1,9,92718.849581,97476.93932
9,1,84,294,0;102;141;229,0;102;147;229,1,2,6,88658.896415,92678.803246
9,2,294,295,0;102;147;229,0;109;147;229,1,1,7,92678.803246,96231.465588
9,3,295,296,0;109;147;229,8;109;147;229,1,0,8,96231.465588,97518.03749
10,1,84,321,0;102;141;229,7;102;141;229,1,0,7,88658.896415,89499.232625
10,2,321,322,7;102;141;229,7;102;141;238,1,3,9,89499.232625,89925.680916
10,3,322,323,7;102;141;238,7;102;132;238,1,2,9,89925.680916,93871.304207
