eval,angles_deg,objective,cached,ronda,tenure,prohibido,aceptado
123,105;225;315;335,94037.837782,true,16,6,True,False
124,95;225;315;325,95154.156268,true,16,6,True,False
125,115;225;315;325,95912.086048,true,16,6,False,False
126,105;215;315;325,95077.599052,true,16,6,True,False
127,105;235;315;325,95620.154942,true,16,6,False,False
128,105;225;305;325,94521.010675,true,16,6,True,False
129,105;225;315;335,94037.837782,true,16,6,True,False
130,95;225;315;325,95154.156268,true,17,7,True,True
131,115;225;315;325,95912.086048,true,17,7,False,False
132,105;215;315;325,95077.599052,true,17,7,True,False
133,105;235;315;325,95620.154942,true,17,7,False,False
134,105;225;305;325,94521.010675,true,17,7,True,False
135,105;225;315;335,94037.837782,true,17,7,True,False
136,95;225;315;325,95154.156268,true,17,7,True,False
137,115;225;315;325,95912.086048,true,17,7,False,False
138,105;215;315;325,95077.599052,true,18,8,True,True
139,105;235;315;325,95620.154942,true,18,8,False,False
140,105;225;305;325,94521.010675,true,18,8,True,False
141,105;225;315;335,94037.837782,true,18,8,True,False
142,95;225;315;325,95154.156268,true,18,8,True,False
143,115;225;315;325,95912.086048,true,18,8,False,False
144,105;215;315;325,95077.599052,true,18,8,True,False
145,105;235;315;325,95620.154942,true,18,8,False,False
146,105;225;305;325,94521.010675,true,19,8,True,True
147,105;225;315;335,94037.837782,true,19,8,False,True
148,95;225;315;325,95154.156268,true,19,8,True,False
149,115;225;315;325,95912.086048,true,19,8,False,False
150,105;215;315;325,95077.599052,true,19,8,True,False
151,105;235;315;325,95620.154942,true,19,8,False,False
152,105;225;305;325,94521.010675,true,19,8,True,False
153,105;225;315;335,94037.837782,true,19,8,False,False
154,95;225;315;325,95154.156268,true,20,8,True,True
155,115;225;315;325,95912.086048,true,20,8,False,False
156,105;215;315;325,95077.599052,true,20,8,True,False
157,105;235;315;325,95620.154942,true,20,8,False,False
158,105;225;305;325,94521.010675,true,20,8,True,False
159,105;225;315;335,94037.837782,true,20,8,True,False
160,95;225;315;325,95154.156268,true,20,8,True,False
