rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,20,29,105;140;255;0,105;158;229;338,3,,,91538.474948,96014.468761
2,1,20,65,105;140;255;0,131;140;237;28,3,,,91538.474948,95619.66204
3,1,20,111,105;140;255;0,85;167;255;23,3,,,91538.474948,101784.991796
4,1,20,160,105;140;255;0,130;123;255;17,3,,,91538.474948,101273.818904
5,1,20,205,105;140;255;0,80;140;282;18,3,,,91538.474948,94731.615357
6,1,20,226,105;140;255;0,123;165;255;335,3,,,91538.474948,98280.140463
7,1,20,256,105;140;255;0,131;140;231;343,3,,,91538.474948,96247.554576
8,1,20,288,105;140;255;0,105;160;238;20,3,,,91538.474948,97183.429297
9,1,20,325,105;140;255;0,86;164;281;0,3,,,91538.474948,101620.845706
10,1,20,347,105;140;255;0,122;159;232;0,3,,,91538.474948,100477.571478
