rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,33,42,105;115;225;325,105;106;225;325,1,1,9,93976.035281,94340.530928
1,2,42,43,105;106;225;325,96;106;225;325,1,0,9,94340.530928,94797.500409
1,3,43,44,96;106;225;325,96;106;232;325,1,2,7,94797.500409,96239.759605
2,1,33,70,105;115;225;325,98;115;225;325,1,0,7,93976.035281,95062.978497
2,2,70,71,98;115;225;325,98;115;232;325,1,2,7,95062.978497,96420.471635
2,3,71,72,98;115;232;325,98;123;232;325,1,1,8,96420.471635,96713.407756
3,1,33,102,105;115;225;325,105;115;225;317,1,3,8,93976.035281,93135.420834
3,2,102,103,105;115;225;317,105;122;225;317,1,1,7,93135.420834,93127.433593
3,3,103,104,105;122;225;317,105;122;218;317,1,2,7,93127.433593,94660.78755
4,1,118,127,105;132;223;317,96;132;223;317,1,0,9,92869.30997,94662.829511
4,2,127,128,96;132;223;317,96;132;223;309,1,3,8,94662.829511,95379.020643
4,3,128,129,96;132;223;309,96;132;231;309,1,2,8,95379.020643,96167.91342
5,1,118,143,105;132;223;317,105;126;223;317,1,1,6,92869.30997,93729.731581
5,2,143,144,105;126;223;317,105;126;223;326,1,3,9,93729.731581,95285.45615
5,3,144,145,105;126;223;326,105;126;232;326,1,2,9,95285.45615,96244.926521
6,1,118,182,105;132;223;317,105;141;223;317,1,1,9,92869.30997,87940.384176
6,2,182,183,105;141;223;317,113;141;223;317,1,0,8,87940.384176,90088.985282
6,3,183,184,113;141;223;317,113;141;223;324,1,3,7,90088.985282,91825.058328
7,1,200,209,103;141;223;314,103;141;231;314,1,2,8,88328.060534,89174.991656
7,2,209,210,103;141;231;314,94;141;231;314,1,0,9,89174.991656,90566.766392
7,3,210,211,94;141;231;314,94;150;231;314,1,1,9,90566.766392,94661.729342
8,1,200,232,103;141;223;314,103;141;223;323,1,3,9,88328.060534,90257.815682
8,2,232,233,103;141;223;323,103;141;214;323,1,2,9,90257.815682,91001.83509
8,3,233,234,103;141;214;323,103;148;214;323,1,1,7,91001.83509,92856.479781
9,1,200,272,103;141;223;314,95;141;223;314,1,0,8,88328.060534,89540.289974
9,2,272,273,95;141;223;314,95;141;215;314,1,2,8,89540.289974,90051.790132
9,3,273,274,95;141;215;314,95;141;215;321,1,3,7,90051.790132,91109.714804
10,1,200,302,103;141;223;314,103;149;223;314,1,1,8,88328.060534,92756.236587
10,2,302,303,103;149;223;314,112;149;223;314,1,0,9,92756.236587,96407.120607
10,3,303,304,112;149;223;314,112;149;223;307,1,3,7,96407.120607,96419.990161
