rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,31,40,25;140;310;0,25;140;301;0,1,2,9,93209.910621,95502.580091
1,2,40,41,25;140;301;0,25;146;301;0,1,1,6,95502.580091,100302.895975
1,3,41,42,25;146;301;0,19;146;301;0,1,0,6,100302.895975,100474.457614
2,1,63,72,49;141;306;0,49;141;306;354,1,3,6,92040.651351,92118.126768
2,2,72,73,49;141;306;354,49;141;315;354,1,2,9,92118.126768,93076.431051
2,3,73,74,49;141;315;354,42;141;315;354,1,0,7,93076.431051,93479.970694
3,1,63,93,49;141;306;0,57;141;306;0,1,0,8,92040.651351,92269.480555
3,2,93,94,57;141;306;0,57;141;306;351,1,3,9,92269.480555,93151.719637
3,3,94,95,57;141;306;351,57;141;313;351,1,2,7,93151.719637,93616.604188
4,1,63,124,49;141;306;0,43;141;306;0,1,0,6,92040.651351,92357.977765
4,2,124,125,43;141;306;0,43;141;297;0,1,2,9,92357.977765,93587.620456
4,3,125,126,43;141;297;0,43;141;297;351,1,3,9,93587.620456,94462.7826
5,1,63,164,49;141;306;0,49;141;297;0,1,2,9,92040.651351,93082.49711
5,2,164,165,49;141;297;0,56;141;297;0,1,0,7,93082.49711,93237.988614
5,3,165,166,56;141;297;0,56;133;297;0,1,1,8,93237.988614,99388.800561
6,1,63,181,49;141;306;0,49;141;306;8,1,3,8,92040.651351,93591.451496
6,2,181,182,49;141;306;8,41;141;306;8,1,0,8,93591.451496,93745.272785
6,3,182,183,41;141;306;8,41;149;306;8,1,1,8,93745.272785,99845.989525
7,1,63,202,49;141;306;0,57;141;306;0,1,0,8,92040.651351,92269.480555
7,2,202,203,57;141;306;0,57;141;314;0,1,2,8,92269.480555,93485.485252
7,3,203,204,57;141;314;0,57;150;314;0,1,1,9,93485.485252,98178.670429
8,1,63,218,49;141;306;0,49;141;306;351,1,3,9,92040.651351,92841.07817
8,2,218,219,49;141;306;351,55;141;306;351,1,0,6,92841.07817,93206.84638
8,3,219,220,55;141;306;351,55;141;312;351,1,2,6,93206.84638,93071.696578
9,1,63,243,49;141;306;0,49;141;306;353,1,3,7,92040.651351,92234.034727
9,2,243,244,49;141;306;353,49;141;313;353,1,2,7,92234.034727,92984.673851
9,3,244,245,49;141;313;353,56;141;313;353,1,0,7,92984.673851,92797.502022
10,1,63,260,49;141;306;0,49;141;306;7,1,3,7,92040.651351,93518.945183
10,2,260,261,49;141;306;7,49;141;300;7,1,2,6,93518.945183,94729.832008
10,3,261,262,49;141;300;7,57;141;300;7,1,0,8,94729.832008,94978.818475
