rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,34,43,320;80;105;225,320;80;105;243,1,3,18,93532.710002,95750.447408
1,2,43,44,320;80;105;243,320;80;87;243,1,2,18,95750.447408,100098.698945
1,3,44,45,320;80;87;243,301;80;87;243,1,0,19,100098.698945,103687.870078
2,1,34,86,320;80;105;225,320;96;105;225,1,1,16,93532.710002,93983.918418
2,2,86,87,320;96;105;225,301;96;105;225,1,0,19,93983.918418,97954.480759
2,3,87,88,301;96;105;225,301;96;122;225,1,2,17,97954.480759,98780.52021
3,1,112,121,311;106;142;225,311;93;142;225,1,1,13,91140.058861,91728.103009
3,2,121,122,311;93;142;225,324;93;142;225,1,0,13,91728.103009,93061.296305
3,3,122,123,324;93;142;225,324;93;142;210,1,3,15,93061.296305,94584.010141
4,1,136,145,314;103;142;220,329;103;142;220,1,0,15,90832.416962,92023.90868
4,2,145,146,329;103;142;220,329;103;142;231,1,3,11,92023.90868,92510.554128
4,3,146,147,329;103;142;231,329;103;131;231,1,2,11,92510.554128,94523.08131
5,1,162,171,309;103;141;221,309;120;141;221,1,1,17,88736.539031,92265.358914
5,2,171,172,309;120;141;221,327;120;141;221,1,0,18,92265.358914,92991.742125
5,3,172,173,327;120;141;221,327;120;141;238,1,3,17,92991.742125,93731.343302
6,1,162,196,309;103;141;221,309;103;154;221,1,2,13,88736.539031,93411.452917
6,2,196,197,309;103;154;221,296;103;154;221,1,0,13,93411.452917,95305.315676
6,3,197,198,296;103;154;221,296;103;154;205,1,3,16,95305.315676,95534.479806
7,1,162,216,309;103;141;221,309;103;141;202,1,3,19,88736.539031,89295.994504
7,2,216,217,309;103;141;202,309;103;123;202,1,2,18,89295.994504,95971.199155
7,3,217,218,309;103;123;202,309;85;123;202,1,1,18,95971.199155,101280.815112
8,1,162,271,309;103;141;221,309;103;153;221,1,2,12,88736.539031,93570.095896
8,2,271,272,309;103;153;221,309;103;153;239,1,3,18,93570.095896,94390.211984
8,3,272,273,309;103;153;239,293;103;153;239,1,0,16,94390.211984,96106.49102
9,1,162,305,309;103;141;221,309;103;122;221,1,2,19,88736.539031,95036.281768
9,2,305,306,309;103;122;221,309;88;122;221,1,1,15,95036.281768,99412.705389
9,3,306,307,309;88;122;221,309;88;122;208,1,3,13,99412.705389,100162.048573
10,1,162,336,309;103;141;221,309;122;141;221,1,1,19,88736.539031,92098.687615
10,2,336,337,309;122;141;221,292;122;141;221,1,0,17,92098.687615,94037.06057
10,3,337,338,292;122;141;221,292;122;141;240,1,3,19,94037.06057,94255.923942
