rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,12,21,15;145;310;355,15;145;296;355,1,2,14,98683.650418,100610.823246
1,2,21,22,15;145;296;355,15;164;296;355,1,1,19,100610.823246,103363.241351
1,3,22,23,15;164;296;355,358;164;296;355,1,0,17,103363.241351,105701.196601
2,1,70,79,48;144;256;5,48;144;256;350,1,3,15,95613.701499,95778.942865
2,2,79,80,48;144;256;350,48;144;273;350,1,2,17,95778.942865,96021.567679
2,3,80,81,48;144;273;350,30;144;273;350,1,0,18,96021.567679,96432.747229
3,1,95,104,60;144;273;0,79;144;273;0,1,0,19,94540.445395,94562.34771
3,2,104,105,79;144;273;0,79;144;273;343,1,3,17,94562.34771,96797.052302
3,3,105,106,79;144;273;343,79;144;287;343,1,2,14,96797.052302,98341.431301
4,1,142,151,99;134;257;333,82;134;257;333,1,0,17,94035.043088,98236.726861
4,2,151,152,82;134;257;333,82;134;244;333,1,2,13,98236.726861,99571.096213
4,3,152,153,82;134;244;333,82;134;244;318,1,3,15,99571.096213,100002.227801
5,1,178,187,102;144;224;308,102;144;211;308,1,2,13,89903.707581,90474.719395
5,2,187,188,102;144;211;308,114;144;211;308,1,0,12,90474.719395,96200.745004
5,3,188,189,114;144;211;308,114;126;211;308,1,1,18,96200.745004,100865.2387
6,1,178,219,102;144;224;308,102;144;224;321,1,3,13,89903.707581,90629.216603
6,2,219,220,102;144;224;321,83;144;224;321,1,0,19,90629.216603,95630.977904
6,3,220,221,83;144;224;321,83;163;224;321,1,1,19,95630.977904,96370.657451
7,1,178,242,102;144;224;308,121;144;224;308,1,0,19,89903.707581,94912.900972
7,2,242,243,121;144;224;308,121;144;243;308,1,2,19,94912.900972,96875.414874
7,3,243,244,121;144;243;308,121;157;243;308,1,1,13,96875.414874,99074.877488
8,1,178,268,102;144;224;308,102;144;224;297,1,3,11,89903.707581,92153.105728
8,2,268,269,102;144;224;297,117;144;224;297,1,0,15,92153.105728,96583.724098
8,3,269,270,117;144;224;297,117;144;235;297,1,2,11,96583.724098,98611.355334
9,1,178,311,102;144;224;308,102;144;224;291,1,3,17,89903.707581,91972.642992
9,2,311,312,102;144;224;291,102;144;237;291,1,2,13,91972.642992,92958.47321
9,3,312,313,102;144;237;291,121;144;237;291,1,0,19,92958.47321,98926.647695
10,1,178,356,102;144;224;308,102;144;224;323,1,3,15,89903.707581,90992.706277
10,2,356,357,102;144;224;323,102;144;209;323,1,2,15,90992.706277,91359.032096
10,3,357,358,102;144;209;323,120;144;209;323,1,0,18,91359.032096,97992.297525
