rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,39,48,35;60;255;310,4;60;212;8,3,,,100666.070808,121984.556728
2,1,104,113,324;80;222;358,290;80;269;304,3,,,95126.843541,101825.12422
3,1,104,173,324;80;222;358,272;128;222;315,3,,,95126.843541,94833.348691
4,1,200,209,272;133;222;325,215;133;166;267,3,,,94174.185861,98001.179283
5,1,230,239,225;128;171;272,166;128;119;317,3,,,93725.009479,98086.303194
6,1,263,272,171;128;104;317,119;77;63;317,3,,,93482.564224,100194.233528
7,1,263,289,171;128;104;317,213;96;104;358,3,,,93482.564224,97518.83957
8,1,263,309,171;128;104;317,209;186;104;279,3,,,93482.564224,101858.084824
9,1,263,345,171;128;104;317,171;187;47;7,3,,,93482.564224,112769.879105
10,1,263,379,171;128;104;317,205;169;104;0,3,,,93482.564224,98370.988037
