eval,angles_deg,objective,cached,ronda,tenure,prohibido,aceptado
1,40;180;270;310,95733.992940,false,0,,,
2,35;180;270;310,95518.245594,false,1,5,False,True
3,45;180;270;310,95974.451241,false,1,5,False,False
4,40;175;270;310,95665.781617,false,1,5,False,False
5,40;185;270;310,96871.181102,false,1,5,False,False
6,40;180;265;310,98436.279081,false,1,5,False,False
7,40;180;275;310,96892.915163,false,1,5,False,False
8,40;180;270;305,97220.230470,false,1,5,False,False
9,40;180;270;315,96359.584137,false,1,5,False,False
10,30;180;270;310,95844.504892,false,2,5,False,True
11,40;180;270;310,95733.992940,true,2,5,False,True
12,35;175;270;310,95549.326847,false,2,5,False,True
13,35;185;270;310,96632.911609,false,2,5,False,False
14,35;180;265;310,98716.018033,false,2,5,False,False
15,35;180;275;310,96624.943211,false,2,5,False,False
16,35;180;270;305,97353.377520,false,2,5,False,False
17,35;180;270;315,96623.841352,false,2,5,False,False
18,30;180;270;310,95844.504892,true,3,5,False,True
19,40;180;270;310,95733.992940,true,3,5,False,True
20,35;175;270;310,95549.326847,true,3,5,True,False
21,35;185;270;310,96632.911609,true,3,5,False,False
22,35;180;265;310,98716.018033,true,3,5,False,False
23,35;180;275;310,96624.943211,true,3,5,False,False
24,35;180;270;305,97353.377520,true,3,5,False,False
25,35;180;270;315,96623.841352,true,3,5,False,False
26,30;180;270;310,95844.504892,true,4,5,False,True
27,40;180;270;310,95733.992940,true,4,5,True,False
28,35;175;270;310,95549.326847,true,4,5,True,False
29,35;185;270;310,96632.911609,true,4,5,False,False
30,35;180;265;310,98716.018033,true,4,5,False,False
31,35;180;275;310,96624.943211,true,4,5,False,False
32,35;180;270;305,97353.377520,true,4,5,False,False
33,35;180;270;315,96623.841352,true,4,5,False,False
34,30;180;270;310,95844.504892,true,5,5,True,True
35,40;180;270;310,95733.992940,true,5,5,True,False
36,35;175;270;310,95549.326847,true,5,5,True,False
37,35;185;270;310,96632.911609,true,5,5,False,False
38,35;180;265;310,98716.018033,true,5,5,False,False
39,35;180;275;310,96624.943211,true,5,5,False,False
40,35;180;270;305,97353.377520,true,5,5,False,False
41,35;180;270;315,96623.841352,true,5,5,False,False
42,30;180;270;310,95844.504892,true,6,6,True,True
43,40;180;270;310,95733.992940,true,6,6,True,False
44,35;175;270;310,95549.326847,true,6,6,True,False
45,35;185;270;310,96632.911609,true,6,6,False,False
46,35;180;265;310,98716.018033,true,6,6,False,False
47,35;180;275;310,96624.943211,true,6,6,False,False
48,35;180;270;305,97353.377520,true,6,6,False,False
49,35;180;270;315,96623.841352,true,6,6,False,False
50,30;180;270;310,95844.504892,true,7,7,True,True
51,40;180;270;310,95733.992940,true,7,7,True,False
52,35;175;270;310,95549.326847,true,7,7,True,False
53,35;185;270;310,96632.911609,true,7,7,False,False
54,35;180;265;310,98716.018033,true,7,7,False,False
55,35;180;275;310,96624.943211,true,7,7,False,False
56,35;180;270;305,97353.377520,true,7,7,False,False
57,35;180;270;315,96623.841352,true,7,7,False,False
58,30;180;270;310,95844.504892,true,8,8,True,True
59,40;180;270;310,95733.992940,true,8,8,True,False
60,35;175;270;310,95549.326847,true,8,8,True,False
61,35;185;270;310,96632.911609,true,8,8,False,False
62,35;180;265;310,98716.018033,true,8,8,False,False
63,35;180;275;310,96624.943211,true,8,8,False,False
64,35;180;270;305,97353.377520,true,8,8,False,False
65,35;180;270;315,96623.841352,true,8,8,False,False
66,30;180;270;310,95844.504892,true,9,8,True,True
67,40;180;270;310,95733.992940,true,9,8,True,False
68,35;175;270;310,95549.326847,true,9,8,True,False
69,35;185;270;310,96632.911609,true,9,8,False,False
70,35;180;265;310,98716.018033,true,9,8,False,False
71,35;180;275;310,96624.943211,true,9,8,False,False
72,35;180;270;305,97353.377520,true,9,8,False,False
73,35;180;270;315,96623.841352,true,9,8,False,False
74,30;180;270;310,95844.504892,true,10,8,True,True
75,40;180;270;310,95733.992940,true,10,8,True,False
76,35;175;270;310,95549.326847,true,10,8,True,False
77,35;185;270;310,96632.911609,true,10,8,False,False
78,35;180;265;310,98716.018033,true,10,8,False,False
79,35;180;275;310,96624.943211,true,10,8,False,False
80,35;180;270;305,97353.377520,true,10,8,False,False
81,35;180;270;315,96623.841352,true,10,8,False,False
82,30;180;270;310,95844.504892,true,11,8,True,True
83,40;180;270;310,95733.992940,true,11,8,True,False
84,35;175;270;310,95549.326847,true,11,8,False,True
85,35;185;270;310,96632.911609,true,11,8,False,False
86,35;180;265;310,98716.018033,true,11,8,False,False
87,35;180;275;310,96624.943211,true,11,8,False,False
88,35;180;270;305,97353.377520,true,11,8,False,False
89,35;180;270;315,96623.841352,true,11,8,False,False
90,30;180;270;310,95844.504892,true,12,8,True,True
91,40;180;270;310,95733.992940,true,12,8,False,True
92,35;175;270;310,95549.326847,true,12,8,True,False
93,35;185;270;310,96632.911609,true,12,8,False,False
94,35;180;265;310,98716.018033,true,12,8,False,False
95,35;180;275;310,96624.943211,true,12,8,False,False
96,35;180;270;305,97353.377520,true,12,8,False,False
97,35;180;270;315,96623.841352,true,12,8,False,False
98,30;180;270;310,95844.504892,true,13,8,True,True
99,40;180;270;310,95733.992940,true,13,8,True,False
100,35;175;270;310,95549.326847,true,13,8,True,False
101,35;185;270;310,96632.911609,true,13,8,False,False
102,35;180;265;310,98716.018033,true,13,8,False,False
103,35;180;275;310,96624.943211,true,13,8,False,False
104,35;180;270;305,97353.377520,true,13,8,False,False
105,35;180;270;315,96623.841352,true,13,8,False,False
106,30;180;270;310,95844.504892,true,14,8,True,True
107,40;180;270;310,95733.992940,true,14,8,True,False
108,35;175;270;310,95549.326847,true,14,8,True,False
109,35;185;270;310,96632.911609,true,14,8,False,False
110,35;180;265;310,98716.018033,true,14,8,False,False
111,35;180;275;310,96624.943211,true,14,8,False,False
112,35;180;270;305,97353.377520,true,14,8,False,False
113,35;180;270;315,96623.841352,true,14,8,False,False
114,30;180;270;310,95844.504892,true,15,8,True,True
115,40;180;270;310,95733.992940,true,15,8,True,False
116,35;175;270;310,95549.326847,true,15,8,True,False
117,35;185;270;310,96632.911609,true,15,8,False,False
118,35;180;265;310,98716.018033,true,15,8,False,False
119,35;180;275;310,96624.943211,true,15,8,False,False
120,35;180;270;305,97353.377520,true,15,8,False,False
121,35;180;270;315,96623.841352,true,15,8,False,False
122,30;180;270;310,95844.504892,true,16,8,True,True
123,40;180;270;310,95733.992940,true,16,8,True,False
124,35;175;270;310,95549.326847,true,16,8,True,False
125,35;185;270;310,96632.911609,true,16,8,False,False
126,35;180;265;310,98716.018033,true,16,8,False,False
127,35;180;275;310,96624.943211,true,16,8,False,False
128,35;180;270;305,97353.377520,true,16,8,False,False
129,35;180;270;315,96623.841352,true,16,8,False,False
130,30;180;270;310,95844.504892,true,17,8,True,True
131,40;180;270;310,95733.992940,true,17,8,True,False
132,35;175;270;310,95549.326847,true,17,8,True,False
133,35;185;270;310,96632.911609,true,17,8,False,False
134,35;180;265;310,98716.018033,true,17,8,False,False
135,35;180;275;310,96624.943211,true,17,8,False,False
136,35;180;270;305,97353.377520,true,17,8,False,False
137,35;180;270;315,96623.841352,true,17,8,False,False
138,30;180;270;310,95844.504892,true,18,8,True,True
139,40;180;270;310,95733.992940,true,18,8,True,False
140,35;175;270;310,95549.326847,true,18,8,True,False
141,35;185;270;310,96632.911609,true,18,8,False,False
142,35;180;265;310,98716.018033,true,18,8,False,False
143,35;180;275;310,96624.943211,true,18,8,False,False
144,35;180;270;305,97353.377520,true,18,8,False,False
145,35;180;270;315,96623.841352,true,18,8,False,False
146,30;180;270;310,95844.504892,true,19,8,True,True
147,40;180;270;310,95733.992940,true,19,8,True,False
148,35;175;270;310,95549.326847,true,19,8,True,False
149,35;185;270;310,96632.911609,true,19,8,False,False
150,35;180;265;310,98716.018033,true,19,8,False,False
151,35;180;275;310,96624.943211,true,19,8,False,False
152,35;180;270;305,97353.377520,true,19,8,False,False
153,35;180;270;315,96623.841352,true,19,8,False,False
154,30;180;270;310,95844.504892,true,20,8,True,True
155,40;180;270;310,95733.992940,true,20,8,True,False
156,35;175;270;310,95549.326847,true,20,8,False,True
157,35;185;270;310,96632.911609,true,20,8,False,False
158,35;180;265;310,98716.018033,true,20,8,False,False
159,35;180;275;310,96624.943211,true,20,8,False,False
160,35;180;270;305,97353.377520,true,20,8,False,False
161,35;180;270;315,96623.841352,true,20,8,False,False
162,30;180;270;310,95844.504892,true,21,8,True,True
163,40;180;270;310,95733.992940,true,21,8,False,True
164,35;175;270;310,95549.326847,true,21,8,True,False
165,35;185;270;310,96632.911609,true,21,8,False,False
166,35;180;265;310,98716.018033,true,21,8,False,False
167,35;180;275;310,96624.943211,true,21,8,False,False
168,35;180;270;305,97353.377520,true,21,8,False,False
169,35;180;270;315,96623.841352,true,21,8,False,False
170,30;180;270;310,95844.504892,true,22,8,True,True
171,40;180;270;310,95733.992940,true,22,8,True,False
172,35;175;270;310,95549.326847,true,22,8,True,False
173,35;185;270;310,96632.911609,true,22,8,False,False
174,35;180;265;310,98716.018033,true,22,8,False,False
175,35;180;275;310,96624.943211,true,22,8,False,False
176,35;180;270;305,97353.377520,true,22,8,False,False
177,35;180;270;315,96623.841352,true,22,8,False,False
178,30;180;270;310,95844.504892,true,23,8,True,True
179,40;180;270;310,95733.992940,true,23,8,True,False
180,35;175;270;310,95549.326847,true,23,8,True,False
181,35;185;270;310,96632.911609,true,23,8,False,False
182,35;180;265;310,98716.018033,true,23,8,False,False
183,35;180;275;310,96624.943211,true,23,8,False,False
184,35;180;270;305,97353.377520,true,23,8,False,False
185,35;180;270;315,96623.841352,true,23,8,False,False
186,30;180;270;310,95844.504892,true,24,8,True,True
187,40;180;270;310,95733.992940,true,24,8,True,False
188,35;175;270;310,95549.326847,true,24,8,True,False
189,35;185;270;310,96632.911609,true,24,8,False,False
190,35;180;265;310,98716.018033,true,24,8,False,False
191,35;180;275;310,96624.943211,true,24,8,False,False
192,35;180;270;305,97353.377520,true,24,8,False,False
193,35;180;270;315,96623.841352,true,24,8,False,False
194,30;180;270;310,95844.504892,true,25,8,True,True
195,40;180;270;310,95733.992940,true,25,8,True,False
196,35;175;270;310,95549.326847,true,25,8,True,False
197,35;185;270;310,96632.911609,true,25,8,False,False
198,35;180;265;310,98716.018033,true,25,8,False,False
199,35;180;275;310,96624.943211,true,25,8,False,False
200,35;180;270;305,97353.377520,true,25,8,False,False
201,35;180;270;315,96623.841352,true,25,8,False,False
202,30;180;270;310,95844.504892,true,26,8,True,True
203,40;180;270;310,95733.992940,true,26,8,True,False
204,35;175;270;310,95549.326847,true,26,8,True,False
205,35;185;270;310,96632.911609,true,26,8,False,False
206,35;180;265;310,98716.018033,true,26,8,False,False
207,35;180;275;310,96624.943211,true,26,8,False,False
208,35;180;270;305,97353.377520,true,26,8,False,False
209,35;180;270;315,96623.841352,true,26,8,False,False
210,30;180;270;310,95844.504892,true,27,8,True,True
211,40;180;270;310,95733.992940,true,27,8,True,False
212,35;175;270;310,95549.326847,true,27,8,True,False
213,35;185;270;310,96632.911609,true,27,8,False,False
214,35;180;265;310,98716.018033,true,27,8,False,False
215,35;180;275;310,96624.943211,true,27,8,False,False
216,35;180;270;305,97353.377520,true,27,8,False,False
217,35;180;270;315,96623.841352,true,27,8,False,False
218,30;180;270;310,95844.504892,true,28,8,True,True
219,40;180;270;310,95733.992940,true,28,8,True,False
220,35;175;270;310,95549.326847,true,28,8,True,False
221,35;185;270;310,96632.911609,true,28,8,False,False
222,35;180;265;310,98716.018033,true,28,8,False,False
223,35;180;275;310,96624.943211,true,28,8,False,False
224,35;180;270;305,97353.377520,true,28,8,False,False
225,35;180;270;315,96623.841352,true,28,8,False,False
226,30;180;270;310,95844.504892,true,29,8,True,True
227,40;180;270;310,95733.992940,true,29,8,True,False
228,35;175;270;310,95549.326847,true,29,8,False,True
229,35;185;270;310,96632.911609,true,29,8,False,False
230,35;180;265;310,98716.018033,true,29,8,False,False
231,35;180;275;310,96624.943211,true,29,8,False,False
232,35;180;270;305,97353.377520,true,29,8,False,False
233,35;180;270;315,96623.841352,true,29,8,False,False
234,30;180;270;310,95844.504892,true,30,8,True,True
235,40;180;270;310,95733.992940,true,30,8,False,True
236,35;175;270;310,95549.326847,true,30,8,True,False
237,35;185;270;310,96632.911609,true,30,8,False,False
238,35;180;265;310,98716.018033,true,30,8,False,False
239,35;180;275;310,96624.943211,true,30,8,False,False
240,35;180;270;305,97353.377520,true,30,8,False,False
241,35;180;270;315,96623.841352,true,30,8,False,False
