rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,39,48,35;60;255;310,13;60;233;339,3,,,100666.070808,103808.580393
2,1,97,106,3;80;223;324,345;80;251;306,3,,,95000.675765,99575.207195
3,1,141,150,335;80;226;311,306;97;226;291,3,,,94600.102,97427.032684
4,1,141,166,335;80;226;311,314;80;201;282,3,,,94600.102,99596.205942
5,1,193,202,324;80;206;272,305;80;182;301,3,,,94511.233876,103940.309728
6,1,193,237,324;80;206;272,308;57;183;272,3,,,94511.233876,94883.773412
7,1,253,262,328;52;178;272,348;27;178;301,3,,,92727.152673,100939.815485
8,1,253,298,328;52;178;272,347;71;178;245,3,,,92727.152673,104573.868779
9,1,347,356,317;81;178;225,317;103;154;247,3,,,91295.923492,93560.585706
10,1,347,372,317;81;178;225,341;110;178;241,3,,,91295.923492,96816.085781
