rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,17,26,100;160;280;330,100;160;295;330,1,2,15,96080.171554,97860.450337
1,2,26,27,100;160;295;330,100;160;295;318,1,3,12,97860.450337,98054.803829
1,3,27,28,100;160;295;318,100;143;295;318,1,1,17,98054.803829,97549.410573
2,1,47,56,110;143;275;308,110;126;275;308,1,1,17,95613.890065,100647.529406
2,2,56,57,110;126;275;308,110;126;275;292,1,3,16,100647.529406,103243.768628
2,3,57,58,110;126;275;292,110;126;294;292,1,2,19,103243.768628,107670.246719
3,1,103,112,110;146;254;272,110;146;254;258,1,3,14,95316.263114,96937.103308
3,2,112,113,110;146;254;258,110;162;254;258,1,1,16,96937.103308,98927.17255
3,3,113,114,110;162;254;258,110;162;243;258,1,2,11,98927.17255,98502.050732
4,1,131,140,100;142;223;258,100;142;223;273,1,3,15,93203.20728,95008.346417
4,2,140,141,100;142;223;273,100;142;207;273,1,2,16,95008.346417,95195.875348
4,3,141,142,100;142;207;273,116;142;207;273,1,0,16,95195.875348,94673.540422
5,1,131,158,100;142;223;258,83;142;223;258,1,0,17,93203.20728,95155.704211
5,2,158,159,83;142;223;258,83;142;205;258,1,2,18,95155.704211,96425.156436
5,3,159,160,83;142;205;258,83;160;205;258,1,1,18,96425.156436,99385.651974
6,1,131,176,100;142;223;258,88;142;223;258,1,0,12,93203.20728,94728.966274
6,2,176,177,88;142;223;258,88;142;241;258,1,2,18,94728.966274,96516.937936
6,3,177,178,88;142;241;258,88;155;241;258,1,1,13,96516.937936,100442.769593
7,1,131,205,100;142;223;258,118;142;223;258,1,0,18,93203.20728,94317.042395
7,2,205,206,118;142;223;258,118;142;242;258,1,2,19,94317.042395,95843.975112
7,3,206,207,118;142;242;258,118;142;242;275,1,3,17,95843.975112,95258.841998
8,1,131,217,100;142;223;258,100;142;235;258,1,2,12,93203.20728,93917.991543
8,2,217,218,100;142;235;258,100;123;235;258,1,1,19,93917.991543,97814.556233
8,3,218,219,100;123;235;258,114;123;235;258,1,0,14,97814.556233,99985.029228
9,1,233,242,104;143;225;258,104;143;239;258,1,2,14,92498.634648,94779.645491
9,2,242,243,104;143;239;258,104;143;239;245,1,3,13,94779.645491,97616.726566
9,3,243,244,104;143;239;245,104;130;239;245,1,1,13,97616.726566,99686.052149
10,1,297,306,104;140;169;225,104;140;154;225,1,2,15,91094.867933,92082.579325
10,2,306,307,104;140;154;225,104;126;154;225,1,1,14,92082.579325,95826.356859
10,3,307,308,104;126;154;225,104;126;154;241,1,3,16,95826.356859,97415.685884
