rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,39,48,35;60;255;310,35;60;255;319,1,3,9,100666.070808,100880.139032
1,2,48,49,35;60;255;319,29;60;255;319,1,0,6,100880.139032,101041.01696
1,3,49,50,29;60;255;319,29;60;249;319,1,2,6,101041.01696,102887.459464
2,1,72,81,49;60;254;324,49;60;254;316,1,3,8,100266.074937,100428.637195
2,2,81,82,49;60;254;316,49;60;262;316,1,2,8,100428.637195,100971.956202
2,3,82,83,49;60;262;316,41;60;262;316,1,0,8,100971.956202,101492.52384
3,1,99,108,41;60;257;321,41;69;257;321,1,1,9,98146.145107,98089.496974
3,2,108,109,41;69;257;321,34;69;257;321,1,0,7,98089.496974,98217.968448
3,3,109,110,34;69;257;321,34;69;257;313,1,3,8,98217.968448,99209.700652
4,1,99,137,41;60;257;321,41;60;248;321,1,2,9,98146.145107,102059.717539
4,2,137,138,41;60;248;321,32;60;248;321,1,0,9,102059.717539,102242.067843
4,3,138,139,32;60;248;321,32;60;248;312,1,3,9,102242.067843,102440.744834
5,1,166,175,42;55;258;317,35;55;258;317,1,0,7,97525.88218,97949.00329
5,2,175,176,35;55;258;317,35;55;250;317,1,2,8,97949.00329,102084.011462
5,3,176,177,35;55;250;317,35;55;250;324,1,3,7,102084.011462,102476.282304
6,1,166,200,42;55;258;317,42;46;258;317,1,1,9,97525.88218,98196.001295
6,2,200,201,42;46;258;317,36;46;258;317,1,0,6,98196.001295,98304.576134
6,3,201,202,36;46;258;317,36;46;251;317,1,2,7,98304.576134,101646.280576
7,1,223,232,356;46;256;317,2;46;256;317,1,0,6,94905.447221,95150.113249
7,2,232,233,2;46;256;317,2;37;256;317,1,1,9,95150.113249,94997.874392
7,3,233,234,2;37;256;317,2;37;256;324,1,3,7,94997.874392,96104.477585
8,1,223,250,356;46;256;317,3;46;256;317,1,0,7,94905.447221,95055.717936
8,2,250,251,3;46;256;317,3;55;256;317,1,1,9,95055.717936,95308.116502
8,3,251,252,3;55;256;317,3;55;256;308,1,3,9,95308.116502,96303.763498
9,1,223,262,356;46;256;317,356;46;256;323,1,3,6,94905.447221,96349.770283
9,2,262,263,356;46;256;323,356;52;256;323,1,1,6,96349.770283,95941.950004
9,3,263,264,356;52;256;323,356;52;250;323,1,2,6,95941.950004,100454.699945
10,1,223,293,356;46;256;317,356;46;256;323,1,3,6,94905.447221,96349.770283
10,2,293,294,356;46;256;323,356;53;256;323,1,1,7,96349.770283,96122.690787
10,3,294,295,356;53;256;323,4;53;256;323,1,0,8,96122.690787,96745.739195
