rafaga,paso_en_rafaga,eval_antes,eval_despues,angles_antes,angles_despues,slots_distintos,slot_movido,delta_deg,obj_antes,obj_despues
1,1,28,37,0;100;145;230,0;89;145;230,1,1,11,95414.857242,97483.790419
1,2,37,38,0;89;145;230,0;89;131;230,1,2,14,97483.790419,98304.823728
1,3,38,39,0;89;131;230,0;89;131;218,1,3,12,98304.823728,99263.384192
2,1,55,64,0;79;141;208,0;79;128;208,1,2,13,93205.505638,98587.041459
2,2,64,65,0;79;128;208,0;98;128;208,1,1,19,98587.041459,97167.962933
2,3,65,66,0;98;128;208,0;98;128;194,1,3,14,97167.962933,98259.119158
3,1,55,101,0;79;141;208,0;91;141;208,1,1,12,93205.505638,93332.064949
3,2,101,102,0;91;141;208,342;91;141;208,1,0,18,93332.064949,94330.551608
3,3,102,103,342;91;141;208,342;91;160;208,1,2,19,94330.551608,100654.092065
4,1,122,131,312;81;140;208,312;81;140;197,1,3,11,90846.128245,91898.371703
4,2,131,132,312;81;140;197,312;66;140;197,1,1,15,91898.371703,94204.553192
4,3,132,133,312;66;140;197,312;66;129;197,1,2,11,94204.553192,101428.174128
5,1,122,204,312;81;140;208,312;81;140;225,1,3,17,90846.128245,88979.687718
5,2,204,205,312;81;140;225,312;93;140;225,1,1,12,88979.687718,89401.774488
5,3,205,206,312;93;140;225,312;93;154;225,1,2,14,89401.774488,94041.724421
6,1,215,224,312;103;144;225,312;103;133;225,1,2,11,90206.682176,92839.734675
6,2,224,225,312;103;133;225,326;103;133;225,1,0,14,92839.734675,92296.769271
6,3,225,226,326;103;133;225,326;103;133;213,1,3,12,92296.769271,93937.90604
7,1,215,250,312;103;144;225,312;114;144;225,1,1,11,90206.682176,93014.74274
7,2,250,251,312;114;144;225,295;114;144;225,1,0,17,93014.74274,95506.546946
7,3,251,252,295;114;144;225,295;114;160;225,1,2,16,95506.546946,97541.23416
8,1,272,281,315;104;140;225,315;104;155;225,1,2,15,89155.06079,93179.207217
8,2,281,282,315;104;155;225,315;104;155;238,1,3,13,93179.207217,95207.884384
8,3,282,283,315;104;155;238,315;117;155;238,1,1,13,95207.884384,98878.989714
9,1,272,310,315;104;140;225,315;104;158;225,1,2,18,89155.06079,92738.830003
9,2,310,311,315;104;158;225,315;122;158;225,1,1,18,92738.830003,95522.551466
9,3,311,312,315;122;158;225,331;122;158;225,1,0,16,95522.551466,95663.272573
10,1,272,334,315;104;140;225,328;104;140;225,1,0,13,89155.06079,90019.410983
10,2,334,335,328;104;140;225,328;104;140;244,1,3,19,90019.410983,92307.72788
10,3,335,336,328;104;140;244,328;104;122;244,1,2,18,92307.72788,96764.871957
